"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"23","Social distancing","Mass gathering cancellation","Sport events",""
"24","Travel restriction","National lockdown","",""
"25","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces","Police and military forces"
"26","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas","All Albanian citizens"
"27","Travel restriction","Stop public transports","","Public transport ban in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora"
"28","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Private vehicles banned"
"29","Travel restriction","Stop public transports","",""
"30","Travel restriction","Individual movement restrictions","Curfew","Time restriction"
"31","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","China"
"32","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from China",""
"33","Risk communication","Educate and actively communicate with the public","Answer to questions","Telephone hotlines covid-19"
"34","Healthcare and public health capacity","Activate notification of cases","Covid-19 as a notifiable disease",""
"35","Risk communication","Educate and actively communicate with the public","The Foreign Ministry raises the securtiy risk for China (level 2)","Ministry advises on postponing not crucial travel to China"
"36","Case identification, contact tracing and related measures","Isolation of cases","Epidemic plan",""
"37","Travel restriction","Cancellation of international flights","Flights to China","Austrian Airlines - China"
"38","Social distancing","Return operation of nationals living in regions at risk","Hubei","Quarantine"
"39","Travel restriction","Cancellation of international flights","Partial","China"
"40","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces","A team from Donau-Universitaet Krems is hired to conduct studies by the WHO. This ""Rapid Response Team"" consists of 10 scientific reasearchers and students."
"42","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units",""
"43","Risk communication","Actively communicate with stakeholders","Answer to questions","Health agencies and Carinthian government"
"44","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Press Conference"
"46","Risk communication","Educate and actively communicate with the public","Answer to questions","Webpage of Health Ministry"
"47","Healthcare and public health capacity","Activate emergency response mechanisms","Nationwide guidelines",""
"48","Risk communication","Actively communicate with healthcare professionals","Answer to questions",""
"49","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts",""
"50","Case identification, contact tracing and related measures","Enhance detection system","Test cases and suspected cases",""
"51","Risk communication","Actively communicate with stakeholders","Recommendations for schools",""
"52","Healthcare and public health capacity","Enhance healthcare capacity - Funds","For medical services",""
"53","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","200 additional medical professionals for testing at people's homes"
"54","Healthcare and public health capacity","Activate emergency response mechanisms","City of Vienna Emergency Plan",""
"55","Healthcare and public health capacity","Activate emergency response mechanisms","Corona task force",""
"56","Risk communication","Educate and actively communicate with the public","Answer to questions",""
"57","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China","Passengers from Iran and South Korea"
"58","Risk communication","Travel alert","Level 5: Lombardy and the municipality of Vo Euganeo in Veneto / Italy",""
"59","Risk communication","Travel alert","Level 6: Iran, South Korea",""
"60","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Passengers from South Korea, Iran and Northern Italy need medical certificate to enter Austria"
"61","Travel restriction","Travel restriction to high-risk areas","No direct flights to South Korea, Iran and Northern Italy","But transports of goods allowed"
"62","Risk communication","Travel alert","Level 6: Italy (whole)",""
"63","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Denial entry of travellers from Iran, South Korea and flights from the northern Italian airports"
"64","Travel restriction","Airport restriction","Denial entry of travellers from China",""
"65","Risk communication","Call for return of nationals living abroad","",""
"66","Case identification, contact tracing and related measures","Border health check","Health certificate requested","People from Italy"
"67","Social distancing","Mass gathering cancellation","Cultural events","Indoor events limited up to 100 people"
"68","Social distancing","Mass gathering cancellation","Limit up to 500 persons","Outdoor"
"69","Social distancing","Return operation of nationals living in regions at risk","Italy","Quarantine"
"70","Risk communication","Educate and actively communicate with the public","Advice for special populations","Recommendation to reduce contact to hospital patients"
"71","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Airport stopping flights to Spain, France, Switzerland"
"72","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Borders closed for people from Switzerland"
"73","Resource allocation","Crisis management plans","Traffic enactments","Suspended driving ban on Sunday for trucks transporting food and hygiene products"
"75","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","People are only allowed to leave their homes to do work which cannot be postponed, run important errands or help others."
"77","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Close hospitals for visitors"
"78","Social distancing","Small gathering cancellation","Closure of non-essential shops",""
"79","Social distancing","Small gathering cancellation","Partial closure of restaurants/bars/cafes",""
"80","Social distancing","Small gathering cancellation","Limit up to 5 persons",""
"81","Social distancing","Small gathering cancellation","Start of possible implementation of part-time work",""
"82","Travel restriction","Cordon sanitaire","More than one city","5 towns in Tyrol"
"83","Risk communication","Travel alert","World (security level 4 of 6)",""
"84","Healthcare and public health capacity","Increase patient capacity","Beds",""
"86","Social distancing","Small gathering cancellation","Complete closure of restaurants/bars/cafes",""
"87","Risk communication","Call for return of nationals living abroad","Quarantine for all incoming nationals",""
"88","Travel restriction","Cordon sanitaire","One region",""
"89","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","France, Switzerland and Spain"
"92","Social distancing","Closure of educational institutions","Closure of educational institutions","Closure of kindergartens"
"93","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","38 billion euros"
"94","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Message for pregnant women, elderly and at risk profesions"
"95","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Some supermarkets offer one hour for people at risk (elderly people)"
"96","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Cashiers"
"98","Social distancing","Small gathering cancellation","Partial closure of public spaces","parks, playgrounds"
"99","Travel restriction","Cancellation of international flights","Total","Last regular AUA flight lands in Vienna"
"100","Case identification, contact tracing and related measures","Quarantine","All incomings",""
"101","Risk communication","Educate and actively communicate with the public","",""
"102","Travel restriction","Individual movement restrictions","Non-essential travel forbidden",""
"103","Social distancing","Return operation of nationals living abroad","Quarantine","Last returns"
"104","Social distancing","Small gathering cancellation","Mandatory home office","Place of work may only be entered if work cannot be done at home"
"105","Social distancing","Small gathering cancellation","Closure of rehabilitation institutions",""
"106","Travel restriction","Border restriction","Border control extended","Liechtenstein, Slovenia"
"107","Risk communication","Educate and actively communicate with the public","Promote social distancing measures",""
"108","Resource allocation","Crisis management plans","Traffic enactments",""
"109","Healthcare and public health capacity","Increase availability of PPE","Covid-19 at a notifiable disease",""
"110","Risk communication","Educate and actively communicate with the public","Corona dashboard",""
"111","Travel restriction","Border restriction","Borders closed to all non-citizens",""
"112","Case identification, contact tracing and related measures","Quarantine","All incomings","self-monitored home quarantine"
"113","Travel restriction","Border restriction","Border control extended","Germany"
"114","Social distancing","Mandatory use of masks","In special cases","In supermarkets"
"115","Social distancing","Measures for special populations","Vulnerable populations","Mandatory home office"
"116","Social distancing","Increase availability of PPE","Face masks","For the population"
"117","Social distancing","Mandatory use of masks","In special cases","Public transports"
"118","Social distancing","Mandatory use of masks","In special cases","All shops"
"119","Returning to normal life","Partial re-opening of shops","smaller than 400 square metres + face masks mandatory",""
"120","Resource allocation","Crisis management plans","Implement repurpose community services plans","Free parking"
"121","Healthcare and public health capacity","Increase patient capacity","Emergency hospitals",""
"124","Social distancing","Closure of educational institutions","Reduction of excursions, out-of-house events",""
"125","Risk communication","Educate and actively communicate with the public","Activate communication to the public","press conference, national TV"
"126","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","National TV"
"127","Risk communication","Educate and actively communicate with the public","Recommendation for home office",""
"128","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase number of FFP2 and FFP3 respirators and surgical masks"
"129","Travel restriction","Individual movement restrictions","Non-essential movements forbidden",""
"131","Social distancing","Mass gathering cancellation","Cultural events","Celebrations of Chinese New Year"
"133","Social distancing","Mass gathering cancellation","Festivals, faith-based events",""
"134","Social distancing","Mass gathering cancellation","Limit up to 1000 persons",""
"136","Travel restriction","Non-essential travels forbidden","",""
"138","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases","Triage system for tests"
"140","Case identification, contact tracing and related measures","Enhance detection system","Search for and/or monitor contacts",""
"142","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","total"
"143","Social distancing","Small gathering cancellation","Police and army control and sanctions",""
"144","Case identification, contact tracing and related measures","Tracing and monitoring","Cases",""
"145","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Partial quarantine"
"146","Risk communication","Actively communicate with healthcare professionals","Health agencies and emergency healthcare",""
"147","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene",""
"148","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine",""
"149","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Do not touch eyes/nose/mouth"
"150","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Sneeze/cough in the elbow"
"151","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote the use of face mask"
"152","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state",""
"153","Travel restriction","Border restriction","Borders closed for travellers but open for food supply","Applies to passengers from Bosnia and Herzegowina travelling to Serbia or Montenegro."
"154","Travel restriction","Border restriction","Borders closed for travellers but open for food supply","Passengers from countries with a high risk assesment have to be isolated for 14 days upon entering the country."
"155","Social distancing","Closure of educational institutions","Complete closure of educational institutions","All"
"156","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, etc."
"157","Social distancing","Measures for special populations","Quarantine","<18 and elderly"
"159","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes",""
"160","Travel restriction","Individual movement restrictions","Curfew",""
"164","Social distancing","Closure of educational institutions","Closure of primary and secondary schools",""
"168","Social distancing","Measures for special populations","Quarantine","elderly"
"173","Risk communication","Actively communicate with stakeholders","",""
"175","Healthcare and public health capacity","Activate emergency response mechanisms","Brazilian Ministry of Health Emergency Operations Center (EOC)",""
"176","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases",""
"177","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","level 2 (of 3)"
"178","Healthcare and public health capacity","Enhance emergency response mechanisms","contingency plan",""
"179","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces",""
"180","Healthcare and public health capacity","Enhance emergency response mechanisms","Public Health Emergency of International Concern",""
"181","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","National"
"182","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated isolation of people with mild respiratory symptoms",""
"183","Case identification, contact tracing and related measures","Quarantine","Quarantine law approved","For nationals returning from Wuhan"
"185","Case identification, contact tracing and related measures","Quarantine","Contact persons",""
"186","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","Specify regional or national"
"187","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas",""
"188","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas",""
"189","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas",""
"190","Case identification, contact tracing and related measures","Isolation of cases","",""
"191","Healthcare and public health capacity","Enhance emergency response mechanisms","","raised emergency level to 2 of 3"
"192","Risk communication","Educate and actively communicate with the public","Encourage people to follow the experts recommendations","President on TV"
"194","Healthcare and public health capacity","Research","Clinical trials on COVID-19",""
"195","Travel restriction","Denial entry to boats with more than 100 passengers","All","Cruise ship Silver Shadow"
"196","Travel restriction","Border restriction","Borders closed","Venezuela only"
"198","Risk communication","Educate and actively communicate with the public","President pressa conference",""
"199","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","Public calamity situation"
"200","Travel restriction","Non-essential travels forbidden","Interstate travels forbidden",""
"201","Resource allocation","Fixing maximum price for necessity goods","Food",""
"203","Risk communication","Actively communicate with stakeholders","Promote social distancing measures",""
"204","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of primary and secondary schools"
"205","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of universities, research institutions"
"207","Travel restriction","Cordon sanitaire","Sao Paulo",""
"208","Social distancing","Small gathering cancellation","Closure of non-essential shops","Sao Paulo"
"210","Travel restriction","Border restriction","Land borders closed ","Argentina, Bolivia, Colombia, French Guiana, Guyana, Paraguay, Peru and Suriname"
"211","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Elderly residents of communities hosted in hotels"
"212","Risk communication","Educate and actively communicate with the public","Communication about domestic violence","Protect women and children against domestic violence"
"213","Social distancing","Measures for special populations","For three groups of traditional peoples and communities: quilombolas, gypsies and indigenous people",""
"214","Travel restriction","Airport restriction","Cancellation of international flights","Partial"
"216","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","Emergency Operations Centre"
"217","Case identification, contact tracing and related measures","Airport health check","Health screening","adding health screening question to the electronic kiosks for passengers arriving from central China."
"218","Case identification, contact tracing and related measures","Specific health channel for travellers","From China","Airports Montreal, Toronto, Vancoover"
"219","Risk communication","Educate and actively communicate with the public","Discourage non-essential travels",""
"225","Case identification, contact tracing and related measures","Airport health check","Health screening","Travellers from high-risk areas"
"227","Risk communication","Educate and actively communicate with the public","Promote the 2m distance",""
"228","Social distancing","Return operation of nationals living in regions at risk","Diamond Princess",""
"229","Case identification, contact tracing and related measures","Quarantine","All incomings","Quarantine Act"
"230","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans",""
"231","Resource allocation","Crisis management plans","Research","$27 million in funding to 47 research groups at 19 universities, to develop means of managing the outbreak"
"232","Social distancing","Return operation of nationals living in regions at risk","Grand Princess cruise ship",""
"233","Resource allocation","Crisis management plans","Implement repurpose government plans","Announce 1 billion dollar response fund"
"234","Social distancing","Mass gathering cancellation","Conferences, meetings, trade fairs, etc.",""
"238","Social distancing","Mass gathering cancellation","Limit up to 250 persons",""
"240","Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","interim national case definition"
"246","Travel restriction","Cordon sanitaire","One Province","Alberta"
"247","Resource allocation","Fixing maximum price for necessity goods","",""
"248","Social distancing","Mass gathering cancellation","Limit up to 50 persons",""
"249","Social distancing","Mass gathering cancellation","Indoor activities","casinos, bingo halls, bars, nightclubs, fitness centres, arenas, museums, and indoor children's play centres."
"250","Social distancing","Special measures for certain establishments","Food services","maximum of 50 people or 50 per cent of their maximum capacity"
"252","Resource allocation","Crisis management plans","Implement repurpose community services plans","Social services and seniors"
"254","Travel restriction","Cordon sanitaire","One Province","British Columbia"
"256","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Total closure of restaurants/bars/cafes"
"257","Social distancing","Mass gathering cancellation","Limit up to 50 persons","Indoor and outdoor"
"259","Social distancing","Small gathering cancellation","Limit up to 10 persons","Indoor and outdoor"
"260","Social distancing","Implement the 2m distance","In the shops, pharmacies or gas stations",""
"261","Social distancing","Implement the 2m distance","In public transport",""
"263","Social distancing","Mass gathering cancellation","Indoor activities","gyms and gaming centres, bingo halls and fitness centres"
"268","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Only delivery"
"269","Social distancing","Small gathering cancellation","Limit up to 10 persons",""
"270","Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",""
"271","Social distancing","Mass gathering cancellation","Cultural events",""
"272","Social distancing","Mass gathering cancellation","Indoor activities",""
"273","Social distancing","Work safety protocols","",""
"277","Social distancing","Mass gathering cancellation","Closure of restaurants/bars/cafes","Bars"
"278","Social distancing","Special measures for certain establishments","Food services",""
"282","Resource allocation","Crisis management plans","Implement repurpose community services plans","Defer taxes"
"288","Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators",""
"289","Case identification, contact tracing and related measures","Isolation of cases","Scale up the system","Police intervention"
"291","Case identification, contact tracing and related measures","Quarantine","All incomings","Nunavut"
"292","Case identification, contact tracing and related measures","Surveillance","Implement community-based surveillance","For people working in essential services"
"293","Healthcare and public health capacity","Increase patient capacity","Postponement of medical appointments",""
"294","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Bars"
"296","Social distancing","Small gathering cancellation","Mandatory home office","Non-essential territorial government staff will begin working from home starting by the end of the day Friday."
"299","Social distancing","Mass gathering cancellation","Cultural events","Theatres"
"301","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of private schools"
"306","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Emergency Contingency Fund i"
"310","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Bas-Saint-Laurent, l'Abitibi-Témiscamingue, la Côte-Nord, le Nord-du-Québec, le Nunavik et les Terres-Cries-de-la-Baie-James"
"312","Travel restriction","Border restriction","Border control","USA"
"313","Social distancing","Small gathering cancellation","Closure of non-essential working places",""
"319","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Restrictions to hopital visitors"
"320","Social distancing","Mass gathering cancellation","Indoor activities","Bars, lounges, night clubs, fitness centers, swimming pools"
"321","Case identification, contact tracing and related measures","Quarantine","Contact persons","Mandatory, 14 days"
"324","Social distancing","Mass gathering cancellation","Cultural events","Theatres, galleries, museums"
"326","Case identification, contact tracing and related measures","Quarantine","Scale up the system","Police sanction if quarantine not respected"
"329","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Recommendation to reduce contact to hospital patients"
"330","Travel restriction","Airport restriction","Airports closed to all non-citizens","International flights to Canada from outside the Caribbean, Mexico, and the U.S. were instructed to land at only one of four airports: Calgary International Airport, Montreal Trudeau International Airport, Toronto Pearson International Airport, and Vancouver International Airport"
"331","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","All travellers"
"333","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Recommendation for home office"
"334","Social distancing","Measures for special populations","Measures to limit contact to hospital patients",""
"335","Travel restriction","Cancellation of international flights","",""
"336","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)",""
"337","Case identification, contact tracing and related measures","Airport health check","Measure temperature for all passengers",""
"338","Resource allocation","Crisis management plans","Research","an additional 49 projects to bring the total to 96 research projects that will focus on developing and implementing measures to detect, manage, and reduce the transmission of the virus"
"339","Healthcare and public health capacity","Increase availability of PPE","Face masks,hand sanitizer and other PPE",""
"342","Environmental measures","Environmental cleaning and disinfection","Public spaces","Guidelines"
"343","Risk communication","Actively communicate with stakeholders","Risk assessment before an event","Guidelines"
"347","Risk communication","Actively communicate with healthcare professionals","Sensitization of hospital, medico-social and liberal health professionals",""
"349","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China",""
"350","Case identification, contact tracing and related measures","Border health check","Measure temperature",""
"352","Healthcare and public health capacity","Case management","Implement triage procedures",""
"357","Resource allocation","Crisis management plans","Implement repurpose government plans","New prime minister nominated with new focus on health"
"358","Risk communication","Educate and actively communicate with the public","Activate communication to the public",""
"359","Risk communication","Educate and actively communicate with the public","Enhance communication to the public",""
"361","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","EUs Integrated Crisis Response activated"
"362","Healthcare and public health capacity","Enhance emergency response mechanisms","Train medical staff specially for covid-19",""
"364","Case identification, contact tracing and related measures","Enhance detection system","",""
"368","Social distancing","Mass gathering cancellation","Indoor activities","fitness gym, music classes..."
"371","Social distancing","Mass gathering cancellation","Limit up to 100 persons",""
"372","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Recommend the elderly to stay at home"
"383","Healthcare and public health capacity","Increase patient capacity","Increase ICU capacity",""
"386","Case identification, contact tracing and related measures","Airport health check","Health screening","All foreigners"
"387","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","South Korea and Northern Italy"
"388","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Italy, South Korea"
"393","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of universities"
"394","Risk communication","Educate and actively communicate with the public","Activate communication to the public","webpage of health ministry about coronavirus:  https://koronavirus.mzcr.cz"
"398","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Region of Lombardia and Venezia"
"399","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Italy"
"401","Healthcare and public health capacity","Increase availability of PPE","Face masks","Purchase of respirators from China"
"402","Healthcare and public health capacity","Increase in medical supplies and equipment","Ban on exportation of medical equipment and drugs",""
"403","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","Mask FFP3"
"404","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Test imported from China"
"405","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","announcement: this was done before but said on this date"
"412","Social distancing","Small gathering cancellation","Limit up to 30 persons",""
"413","Social distancing","Mass gathering cancellation","Limit up to 5000 persons",""
"417","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Special shopping hours for elderly people above 65 years - 10:00-12:00"
"420","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Italy"
"421","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","For people who have permanent or temporary residence in Czech Republic"
"422","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China, South Korea, Iran, Italy, Spain, Austria, Germany, Switzerland, Sweden, the Netherlands, Belgium, the United Kingdom, Norway, Denmark and France"
"423","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations",""
"424","Social distancing","Measures for special populations","Recommendation not to visit weekend houses",""
"426","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for not touching eyes/nose/mouth"
"427","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"429","Social distancing","Mandatory use of masks","Obligation to wear a face mask out of home","Mandatory protection of respiratory tract - mask, scarf, home-made masks-"
"431","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial (22:00 to 6:00)"
"432","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial- (restaurants in shopping malls over 5000m^2)"
"433","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","persons coming from Lombardia and Venezia"
"434","Travel restriction","Travel restriction to high-risk areas","China, Korea, Iran, Italy, Spain, Austria, Germany, Switzerland, Sweden, Norway, Belgium, United Kingdom, Denmark, France",""
"435","Healthcare and public health capacity","Repurpose hospitals","Special section for covid19 patients","Severe cases"
"437","Travel restriction","Border restriction","Borders closed to refugees",""
"439","Travel restriction","Cancellation of international flights","Partial","Mainland China, parts of South Korea, Iran, Italy, Tyrol in Austria"
"440","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of secondary schools"
"443","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of primary schools"
"444","Travel restriction","Denial entry to boats with more than 100 passengers","All",""
"445","Risk communication","Use of public transport","Discourage use of public transport",""
"456","Social distancing","Mass gathering cancellation","Meetings of the parliament",""
"458","Social distancing","Measures for special populations","Measures to limit contact to the elderly","require all healthcare workers that have travelled to a region of high risk to stay at home for two weeks"
"459","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Strong recommendation that elderly do not take care of children."
"461","Social distancing","Public transport","Increase service","More busses and trains added to the schedule"
"462","Social distancing","Public transport","Stricter limits on number of passengers allowed in public transports","Busses and trains"
"465","Social distancing","Small gathering cancellation","Closure of non-essential shops","total"
"468","Case identification, contact tracing and related measures","Tracing and monitoring","Contact tracking",""
"469","Travel restriction","Train transport restrictions","Only people with reservations allowed in intercity trains",""
"470","Travel restriction","Cordon sanitaire","One region","ship in quarantaine for 14 days +"
"471","Risk communication","Educate and actively communicate with the public","Activate communication to the public","all passengers get thermometer, in case of fever call number"
"474","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts","People with symptoms and close contacts tested. Those who tested positive were taken off the ship for isolation and care. Tested negative remained on the ship."
"477","Case identification, contact tracing and related measures","Enhance detection system","Test vulnerable population","passengers  >80 and chronic diseases"
"478","Social distancing","Individual movement restrictions","Non-v","Mandatory confinement"
"482","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts","Change to testing all passengers, starting with >80 and chronic diseases"
"483","Case identification, contact tracing and related measures","Enhance detection system","Research and test of contacts","Health screening"
"486","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases","Health screening"
"487","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces","crew members were provided with personal protective equipment (PPE) and instructed on appropriate IPC practices"
"488","Case identification, contact tracing and related measures","Scale up the system","Testing all passengers",""
"489","Returning to normal life","Lift quarantine","Disembarkation of passengers","Start"
"490","Returning to normal life","Lift quarantine","Disembarkation of passengers","End"
"491","Returning to normal life","Lift quarantine","Disembarktion of crew","Start"
"492","Returning to normal life","Lift quarantine","Disembarktion of crew","End"
"495","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare health emergency",""
"496","Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients",""
"497","Case identification, contact tracing and related measures","Airport health check","Health screening","Medical assistance for people with respiratory symptoms"
"498","Travel restriction","Airports closing for domestic flights","",""
"499","Case identification, contact tracing and related measures","Border health check","",""
"502","Travel restriction","Border restriction","Land border",""
"507","Risk communication","Educate and actively communicate with the public","Activate communication to the public","airport, railway station / TV , poster, flyers, radio, social media"
"509","Risk communication","Educate and actively communicate with the public","Answer to questions","Online service covid-19"
"515","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","national"
"516","Case identification, contact tracing and related measures","Treatment of patients should not be compromised","Police and army control and sanctions","In case treatment of patient is compromised"
"517","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment",""
"520","Environmental measures","Environmental cleaning and disinfection","",""
"522","Travel restriction","Individual movement restrictions","",""
"526","Social distancing","Mass gathering cancellation","Place of worship",""
