"Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","Broaden definition of cases: Includes also suspected illness"
"Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","Broaden definition of suspected cases"
"Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","Interim national case definition"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria",""
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Include all pneumonia cases"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Include all symptomatic with travel history to infected areas"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Not only those with a history of travel to high risk areas"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Pro-active indentification of suspected cases"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Provide free testing"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Staff in education and child care sector"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Test all symptomatic patients"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Test those who travelled to high-risk areas with or without symptoms"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Test workers and elderly with symptoms"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Testing all passengers"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","To people with severe pneumonia"
"Case identification, contact tracing and related measures","Enhance detection system","Extend test criteria","Youth trainers"
"Case identification, contact tracing and related measures","Enhance detection system","Health evaluation of visitors before access to specific institutions","Care facilities"
"Case identification, contact tracing and related measures","Enhance detection system","Health evaluation of visitors before access to specific institutions","Health check for people entering nursing homes and long term facilities"
"Case identification, contact tracing and related measures","Enhance detection system","Health evaluation of visitors before access to specific institutions","Juvenile justice facilities"
"Case identification, contact tracing and related measures","Enhance detection system","Health evaluation of visitors before access to specific institutions","Post offices"
"Case identification, contact tracing and related measures","Enhance detection system","Health evaluation of visitors before access to specific institutions","Restaurants, offices, hotels, and others check temperature before entry"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Caregivers for vulnerable groups"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Health checks for healthcare professionals"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test all essential workers and members of their household"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test healthcare workers"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test incomings Japanese nationals and visiting foreigners"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test most exposed workers"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test of residents of institutions hosting vulnerable populations"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test seafarers"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test strategy implemented in institutions hosting vulnerable population: test of healthcare providers"
"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test vulnerable populations"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons",""
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","Europe (retrospective screening)"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","Extensive testing"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","In nursing homes/ care centers"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","Monitoring of high-risk people"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","Nationals returning from Wuhan"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","People from United States and East Asia who developed symptoms"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","Test persons at highest risk of being infected with covid-19"
"Case identification, contact tracing and related measures","Enhance detection system","Test contact or at risk of contact persons","Travelers for infected areas"
"Case identification, contact tracing and related measures","Isolation of cases","",""
"Case identification, contact tracing and related measures","Isolation of cases","Asymptomatic carriers","Provide treatment"
"Case identification, contact tracing and related measures","Isolation of cases","Epidemic plan",""
"Case identification, contact tracing and related measures","Isolation of cases","Isolating and treating cases are priotities","The response measures are more focused on isolating and treating potential cases than tracing an individual case."
"Case identification, contact tracing and related measures","Isolation of cases","Law defining the standards for isolation of cases",""
"Case identification, contact tracing and related measures","Isolation of cases","Mandatory",""
"Case identification, contact tracing and related measures","Isolation of cases","Mandatory","By law"
"Case identification, contact tracing and related measures","Isolation of cases","Must be implemented in long-term care facilities",""
"Case identification, contact tracing and related measures","Isolation of cases","Place of residence",""
"Case identification, contact tracing and related measures","Isolation of cases","Quarantine for people arriving from Wuhan with severe cases of pneumonia",""
"Case identification, contact tracing and related measures","Isolation of cases","Wuhan import",""
"Case identification, contact tracing and related measures","Public transport health check","Temperature screening to access public transports","Self-screening of the temperature"
"Case identification, contact tracing and related measures","Public transport health check","Temperature screening to access public transports","Thermal scanners at train stations"
"Case identification, contact tracing and related measures","Quarantine","Contact persons",""
"Case identification, contact tracing and related measures","Quarantine","Contact persons","14 day home quarantine"
"Case identification, contact tracing and related measures","Quarantine","Contact persons","Epidemiological surveillance of contacts"
"Case identification, contact tracing and related measures","Quarantine","Contact persons","Foreign constrution workers"
"Case identification, contact tracing and related measures","Quarantine","Contact persons","Mandatory"
"Case identification, contact tracing and related measures","Quarantine","Contact persons","Mandatory, 14 days"
"Case identification, contact tracing and related measures","Quarantine","Contact persons","Observation of health for highly contacted persons, request to refrain from going out, etc"
"Case identification, contact tracing and related measures","Quarantine","Contact persons","The 100 people who were brought back from Wuhan are quarantined for two weeks"
"Case identification, contact tracing and related measures","Quarantine","Contact persons","Those known to have been in contact with a confirmed COVID-19 case are placed in quarantine."
"Case identification, contact tracing and related measures","Quarantine","Incoming residents",""
"Case identification, contact tracing and related measures","Quarantine","Incoming residents","Citizen entered by train"
"Case identification, contact tracing and related measures","Quarantine","Incoming residents","Citizens"
"Case identification, contact tracing and related measures","Quarantine","Incoming residents","From ASEAN countries, France, India and Switzerland"
"Case identification, contact tracing and related measures","Quarantine","Incoming residents","Health check and self-isolation"
"Case identification, contact tracing and related measures","Quarantine","Incoming residents","Quarantine in a state quarantine facility"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers",""
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","2 islands"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","By air"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","Commuters crossing the border"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","Entering the country by plane, train, sea, or road"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","Except travelers arriving from the Pacific"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","Home quarantine"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","Incomingd from abroad"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","Self-isolation"
"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","Self-monitored home quarantine"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas",""
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","14 day home quarantine"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Active surveillance"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","All countries listed by WHO"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","All persons involved in school life (i.e. pupils, teachers and non-teaching staff)"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","all the Schengen countries, as well as Iran and Egypt"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","All travellers China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain and Germany "
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","All travellers from mainland China"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","ASEAN countries, Japan, Switzerland, United Kingdom"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Austria, China, Denmark, Egypt, France, Germany, Hong Kong Special Administrative Region of the People's Republic of China, Iceland, Iran, Italy, Japan, Netherlands, Norway, Singapore, South Korea, Spain, Sweden and Switzerland"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Austria:All ski areas - Switzerland: All ski areas - Germany: Southern Bavarian Ski Area - France: Provence-Alpes-CÙte d'Azur - Auvergne-RhÙne-Alpes - Slovenia  All ski areas"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China and South Korea"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China other than hubei, extend to other countries on 3/10"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China, Hong Kong, and Macau"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China, Hong Kong, Republic of Korea, Japan, Italy, Thailand, Singapore, Iran, Malaysia, France, Spain and Germany"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China, Iran, Schengen"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China, Italy, Iran, Republic of Korea, France, Spain and Germany"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China, Italy, Iran, South Korea, certain administrative regions of France, the states of Germany, the Austrian state of Tyrol, Japan, Singapore, and the Madrid, Catalonia and the Basque Country regions of Spain"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China, South Korea"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","China, South Korea, Iran, Italy, Spain, Austria, Germany, Switzerland, Sweden, the Netherlands, Belgium, the United Kingdom, Norway, Denmark and France"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Countries with more than 200 cases"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Emilia-Romagna, Lombardy, or Veneto (Italy) and Iran"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Europe and USA"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Europe, Egypt, and Iran"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Expanding compulsory quarantine for a minimum period of 14 days for passengers coming from/transiting through UAE, Qatar, Oman, and Kuwait."
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","For people who have permanent or temporary residence in Czech Republic"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","From South Korea"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","From Spain"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","home-quarantine for people that returned within the past 14 days from affected areas, other than the ones with extended local transmission"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Home quanrantine"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Hubei"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Incomings from Gütersloh Germany"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Italy"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Italy, China, Iran, South Korea"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Italy, France, Spain, Germany"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Mainland China, Hong Kong and Macao"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Mandatory self-isolation"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","MOH is contacting all recent travellers from Hubei who are in Singapore who have arrived in the last 14 days"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Nationals arriving from South Korea, Japan, Italy, Hong Kong, Taiwan, Macao"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Nationals from China and Iran"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Nationals travelling from a country with 10 or more confirmed cases"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Partial quarantine (e.g access to schools, sport gym...restricted)"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Partial quarantine: limited access to public and semi-public spaces"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","People who travelled out of Nordic countries"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Preschool children and preschool employees who travelled to China"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Quarantine"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","quarantine all Singapore residents with travel history to to Daegu and Cheongdo within the last 14 days"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Self-health management after returning from countries with level 1 and 2 warning"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","ship crew that come ashore from high-risk areas"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","South Korea"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","South Korea, Lombardy (Italy), Veneto (Italy), Emilia Romagna (Italy)"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","State University of New York abroad students"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Syria, Egypt"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Travellers from Italy"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Travellers from Southeast Asia, the Middle East, and Africa"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Travellers from USA"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","US, UK, Germany, spain, france"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","USA, Europe"
"Case identification, contact tracing and related measures","Quarantine","Incomings from high-risk areas","Wuhan"
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas",""
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","China"
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","For nationals returning from Wuhan"
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Germany"
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Health monitoring"
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Italy, China, South Korea and Iran "
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Nationals and residents"
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Nationals who travelled to at risk areas"
"Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Spain and France"
"Case identification, contact tracing and related measures","Quarantine","Suspected cases",""
"Case identification, contact tracing and related measures","Quarantine","Suspected cases","All tested for Covid-19 until the test results"
"Case identification, contact tracing and related measures","Quarantine","Suspected cases","Mandatory"
"Case identification, contact tracing and related measures","Quarantine","Suspected cases","Symptomatic persons"
"Case identification, contact tracing and related measures","Quarantine","Suspected cases","warning notice should be place on the front door of home"
"Case identification, contact tracing and related measures","Restricted testing","Patients with need of hospital care",""
"Case identification, contact tracing and related measures","Restricted testing","Patients with need of hospital care and healthcare staff",""
"Case identification, contact tracing and related measures","Restricted testing","Patients with need of hospital care and healthcare staff with symptoms",""
"Case identification, contact tracing and related measures","Restricted testing","Patients with symptoms or/and epidemiological link",""
"Case identification, contact tracing and related measures","Restricted testing","People hospitalized with severe signs of respiratory illness will be tested",""
"Case identification, contact tracing and related measures","Restricted testing","Triage system for tests",""
"Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","Surveillance at  intensive care units"
"Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","Surveillance in hospitals"
"Case identification, contact tracing and related measures","Surveillance","Obligation of reporting data on COVID-19 patients",""
"Case identification, contact tracing and related measures","Surveillance","Obligation of reporting data on COVID-19 patients","Data on patients and materials in long-term facilites"
"Case identification, contact tracing and related measures","Surveillance","Obligation of reporting data on COVID-19 patients","Data on patients and materials on hospitals"
"Case identification, contact tracing and related measures","Surveillance","Obligation of reporting data on COVID-19 patients","Regulation for national register of COVID-19 patients"
"Case identification, contact tracing and related measures","Surveillance","Prevalence estimation in the general population",""
"Case identification, contact tracing and related measures","Surveillance","Prevalence estimation in the general population","At public transport stations"
"Case identification, contact tracing and related measures","Surveillance","Prevalence estimation in the general population","In blood donors"
"Case identification, contact tracing and related measures","Surveillance","Prevalence estimation in the general population","Random testing of the population"
"Case identification, contact tracing and related measures","Surveillance","Prevalence estimation in the general population","Seroprevalence survey"
"Case identification, contact tracing and related measures","Surveillance","Syndromic surveillance","Activation of the global health monitoring system"
"Case identification, contact tracing and related measures","Surveillance","Syndromic surveillance","Health screening of the population via phone call or app"
"Case identification, contact tracing and related measures","Surveillance","Syndromic surveillance","Via an app"
"Case identification, contact tracing and related measures","Surveillance","Targeted surveillance","For people working in essential services"
"Case identification, contact tracing and related measures","Surveillance","Use existing respiratory disease surveillance systems",""
"Case identification, contact tracing and related measures","Tracing and tracking","Case tracking and monitoring during home isolation","Compulsory digital cuffs"
"Case identification, contact tracing and related measures","Tracing and tracking","Case tracking and monitoring during home isolation","Via mobile phone: Mandatory"
"Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing",""
"Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","All passengers from Westerdam"
"Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Close contacts are isolated"
"Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Close contacts are monitored"
"Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Directions how to investigate cluster occurrence"
"Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Expanded tracing"
"Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","First case"
