"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"15";15;"Albania";"ALB";"Albania";"10/03/2020";"Social distancing";"Small gathering cancellation";"Closure of restaurants/bars/cafes";"Total";"""Bars, restaurants, gyms, discos and venues with live music were ordered to close.""";"https://www.tiranatimes.com/?p=144535"
"16";16;"Albania";"ALB";"Albania";"08/03/2020";"Social distancing";"Small gathering cancellation";"Complete prohibition of gathering";"";"""authorities had also ordered cancellations of all large public gatherings including cultural events.""";"https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0"
"17";17;"Albania";"ALB";"Albania";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"theatres, cinemas, concerts, etc.";"""All museums, cinemas, theatres, and public parks were closed indefinitely.""";"https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/"
"18";18;"Albania";"ALB";"Albania";"10/03/2020";"Social distancing";"Mass gathering cancellation";"Indoor activities";"Fitness gym, music classes-";"""Bars, restaurants, gyms, discos and venues with live music were ordered to close.""";"https://www.tiranatimes.com/?p=144535"
"19";19;"Albania";"ALB";"Albania";"11/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"Muslim Community";"""The Muslim community announced on 11 March that all sermons, prayers and other activities, including jummahs, and mosques were canceled, and told all believers to quarantine themselves and observe prayers at home in private, and rigorously follow and observe the recommendations of the World Health Organization.""";"https://www.rtsh.al/lajme/masat-anti-koronavirus-komuniteti-mysliman-anulohet-falja-e-namazit-te-xhumase-ne-xhami-dhe-ligjerimet-masive/"
"20";20;"Albania";"ALB";"Albania";"12/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"Autocephalous Orthodox Church - Services canclled except Divine Liturgy on Sunday";"""The Albanian Autocephalous Orthodox Church announced on 12 March the suspension of all services until 3 April, except for the Divine Liturgy on Sunday, in which it encouraged followers to come for ""healing"" but keep a distance from each other.""";"https://www.vizionplus.tv/kisha-ortodokse-pezullon-sherbesat-e-perbashketa-ditore-deri-ne-3-prill/"
"21";21;"Albania";"ALB";"Albania";"12/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"Catholic Church - All services cancelled except for private confession";"""The Catholic church suspended all diocesan and parish activities, all liturgical celebrations including the Holy Mass, all catechisms, all educational courses at community centers and all other parish and diocesan activities..""";"http://www.gazetatema.net/2020/03/12/kisha-katolike-pezullon-meshat-mesazh-besimtareve-gjithcka-do-te-transmetohet-online/"
"22";22;"Albania";"ALB";"Albania";"12/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"Albanian Evangelical Church - All services tramitted services online";"Albanian Evangelical Church - All services tramitted services online";"http://www.gazetatema.net/2020/03/12/kisha-katolike-pezullon-meshat-mesazh-besimtareve-gjithcka-do-te-transmetohet-online/"
"23";23;"Albania";"ALB";"Albania";"08/03/2020";"Social distancing";"Mass gathering cancellation";"Sport events";"";"""Rama said authorities had also ordered cancellations of all large public gatherings including cultural events and were asking sporting federations to cancel scheduled matches..""";"https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0"
"24";24;"Albania";"ALB";"Albania";"10/03/2020";"Travel restriction";"National lockdown";"";"";"Citizens alerted on National Lockdown via text message service.";"https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/"
"25";25;"Albania";"ALB";"Albania";"10/03/2020";"Healthcare and public health capacity";"Scale up emergency response mechanisms";"Mobilize other forces";"Police and military forces";"""The police and military forces are patrolling the streets of Albania to make sure self-quarantine protocol is observed by those who traveled to Italy, Greece or other countries with the coronavirus outbreak. Fines up to 5000 euros are to be applied..""";"https://www.tiranatimes.com/?p=144535"
"26";26;"Albania";"ALB";"Albania";"25/02/2020";"Case identification, contact tracing and related measures";"Specific health channel for travellers";"From high-risk areas";"All Albanian citizens";""" Albanian citizens arriving from China, Singapore, Iran, South Korea or Italy, to call the same number, so that a medical group with protective suits can escort them to an infections hospital for testing, with all samples sent to the Public Health Institute.""";"https://balkaneu.com/albania-national-medical-emergency-center-hands-out-coronavirus-instructions-and-increases-hospital-budget/?fbclid=IwAR0iSbB9XWv8cCaFWQjMl0l7oyEmnoBnBWFFtDidbci7RuoDUNcgYK1zgDQ"
"27";27;"Albania";"ALB";"Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora";"15/03/2020";"Travel restriction";"Stop public transports";"";"Public transport ban in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora";"";"https://www.tiranatimes.com/?p=144535"
"28";28;"Albania";"ALB";"Shkodra, Lezha, Elbasani, Lushnja, Fieri, Vlora";"13/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"Private vehicles banned";"""From Friday 06:00 to Sunday midnight, the circulation of private vehicles and public transport vehicles in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora will be banned. """;"https://www.tiranatimes.com/?p=144535 "
"29";29;"Albania";"ALB";"Tirana, Durres";"13/03/2020";"Travel restriction";"Stop public transports";"";"";"Staring Friday 06:00am to Sunday midnight, the circulation of private cars and those of interurban public transport vehicles, between Tirana and Durres will be banned.""";"https://www.tiranatimes.com/?p=144535"
"30";30;"Albania";"ALB";"Albania";"16/03/2020";"Travel restriction";"Individual movement restrictions";"Curfew";"Time restriction";"Albanian Government Imposes 18:00 Curfew and Ban on Sitting in Public Places";"https://exit.al/en/2020/03/16/albanian-government-imposes-1800-curfew-and-ban-on-sitting-in-public-places/"
"31";31;"Austria";"AUT";"Austria";"27/01/2020";"Risk communication";"Educate and actively communicate with the public";"Warning against travel to and return from risk areas";"China";"Ministry of Foreign Affairs advises against the unnecessary travel to the main affected central Chinese province of Hubei due to the spread of the corona virus.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"32";32;"Austria";"AUT";"Austria";"27/01/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for passengers from China";"";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"33";33;"Austria";"AUT";"Austria";"27/01/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"Telephone hotlines covid-19";"";"https://www.ots.at/presseaussendung/OTS_20200224_OTS0129/neuartiges-coronavirus-ages-infoline-0800-555-621-ab-sofort-7-tage-in-der-woche-0-24-uhr"
"34";34;"Austria";"AUT";"Austria";"28/01/2020";"Healthcare and public health capacity";"Activate notification of cases";"Covid-19 as a notifiable disease";"";"";"https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10010265"
"35";35;"Austria";"AUT";"Austria";"28/01/2020";"Risk communication";"Educate and actively communicate with the public";"The Foreign Ministry raises the securtiy risk for China (level 2)";"Ministry advises on postponing not crucial travel to China";"The Austrian Ministry of Foreign Affairs has issued an increased security risk (security level 3) for China since Tuesday";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"36";36;"Austria";"AUT";"Austria";"28/01/2020";"Case identification, contact tracing and related measures";"Isolation of cases";"Epidemic plan";"";"";"https://www.ris.bka.gv.at/GeltendeFassung.wxe?Abfrage=Bundesnormen&Gesetzesnummer=10010265"
"37";37;"Austria";"AUT";"Austria";"29/01/2020";"Travel restriction";"Cancellation of international flights";"Flights to China";"Austrian Airlines - China";"Lufthansa and its subsidiaries Swiss and AUA (Austrian Airlines) canceled their flights to and from China because of the new corona virus.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"38";38;"Austria";"AUT";"Austria";"02/02/2020";"Social distancing";"Return operation of nationals living in regions at risk";"Hubei";"Quarantine";"";"https://www.diplomatie.gouv.fr/en/country-files/china/news/article/coronavirus-2019-ncov-repatriation-operations-involving-direct-flights"
"39";39;"Austria";"AUT";"Austria";"03/02/2020";"Travel restriction";"Cancellation of international flights";"Partial";"China";"AUA announced they will not be flying to China anymore. Air China is still flying to Vienna airport.";"https://www.austrian.com/Info/Flightinformation/Travel%20Alerts.aspx?sc_lang=en&cc=US"
"40";40;"Austria";"AUT";"Austria";"05/02/2020";"Healthcare and public health capacity";"Scale up emergency response mechanisms";"Mobilize other forces";"A team from Donau-Universitaet Krems is hired to conduct studies by the WHO. This ""Rapid Response Team"" consists of 10 scientific reasearchers and students.";"";"https://www.derstandard.at/story/2000114843989/geschaeftemacherei-mit-dem-coronavirus-aufdecken"
"41";41;"Austria";"AUT";"Austria";"06/02/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for passengers from China";"";"Starting today, Thursday February 6, 2020, the temperature at Vienna Airport will be measured because of the corona virus in passengers on direct flights from China. The first incoming plane is checked, in this case Air China flight CA841 from Beijing,";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"42";42;"Austria";"AUT";"Austria";"10/02/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Set up crisis units";"";"";"https://www.derstandard.at/story/2000114365338/coronavirus-60-weitere-faelle-auf-kreuzfahrtschiff-in-japan"
"43";43;"Austria";"AUT";"Carinthia";"23/02/2020";"Risk communication";"Actively communicate with stakeholders";"Answer to questions";"Health agencies and Carinthian government";"";"https://www.ots.at/presseaussendung/OTS_20200223_OTS0024/corona-virus-weitere-vorgehensweise-fuer-kaernten-festgelegt"
"44";44;"Austria";"AUT";"Austria";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Enhance communication to the public";"Press Conference";"Information camgaign by interior ministry and Department of Health";"https://www.derstandard.at/story/2000114938296/coronavirus-verdachtsfall-legte-bahn-am-brenner-vier-stunden-lahm"
"45";45;"Austria";"AUT";"Austria";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"Telephone hotlines covid-19";"by AGES (Austrian Agency for Health and Food Safety)";"https://www.ots.at/presseaussendung/OTS_20200224_OTS0129/neuartiges-coronavirus-ages-infoline-0800-555-621-ab-sofort-7-tage-in-der-woche-0-24-uhr"
"46";46;"Austria";"AUT";"Austria";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"Webpage of Health Ministry";"information on the corona virus on the homepage of the Federal Ministry for Social Affairs, Health, Care and Consumer Protection";"https://www.sozialministerium.at/Themen/Gesundheit/Uebertragbare-Krankheiten/Infektionskrankheiten-A-Z/Neuartiges-Coronavirus.html"
"47";47;"Austria";"AUT";"Austria";"27/02/2020";"Healthcare and public health capacity";"Activate emergency response mechanisms";"Nationwide guidelines";"";"";"https://www.derstandard.at/jetzt/livebericht/2000115088241/1000180564/coronaviruserster-bestaetigter-fall-in-wien"
"48";48;"Austria";"AUT";"Austria";"27/02/2020";"Risk communication";"Actively communicate with healthcare professionals";"Answer to questions";"";"";"https://www.derstandard.at/story/2000115078649/militaeruebungen-usa-suedkorea-wegen-coronavirus-ausgesetzt"
"49";49;"Austria";"AUT";"Austria";"27/02/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"Research and test of contacts";"";"";"https://www.aljazeera.com/news/2020/02/quarantine-envelops-contacts-austria-coronavirus-case-200226090339689.html"
"50";50;"Austria";"AUT";"Austria";"27/02/2020";"Case identification, contact tracing and related measures";"Enhance detection system";"Test cases and suspected cases";"";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"51";51;"Austria";"AUT";"Austria";"27/02/2020";"Risk communication";"Actively communicate with stakeholders";"Recommendations for schools";"";"The Ministry of Education has published information and recommendations for schools. Two coronavirus checklists have been compiled for schools on how to deal with students or teachers if Covid 19 is suspected.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"52";52;"Austria";"AUT";"Austria";"28/02/2020";"Healthcare and public health capacity";"Enhance healthcare capacity - Funds";"For medical services";"";"200000 EUR additionally per month for medical services";"https://www.derstandard.at/story/2000115150566/coronavirus-patienten-sollen-zuhause-bleiben"
"53";53;"Austria";"AUT";"Austria";"28/02/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Increase testing capacity (number tests)";"200 additional medical professionals for testing at people's homes";"";"https://www.derstandard.at/story/2000115150566/coronavirus-patienten-sollen-zuhause-bleiben"
"54";54;"Austria";"AUT";"Vienna";"28/02/2020";"Healthcare and public health capacity";"Activate emergency response mechanisms";"City of Vienna Emergency Plan";"";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"55";55;"Austria";"AUT";"Austria";"29/02/2020";"Healthcare and public health capacity";"Activate emergency response mechanisms";"Corona task force";"";"A Corona task force was set up in the Ministry of Health (BMSGPK) , which on the one hand provides medical and scientific advice and on the other hand is ideally equipped for crisis management. The task force is made up of 19 high-ranking experts";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"56";56;"Austria";"AUT";"Austria";"29/02/2020";"Risk communication";"Educate and actively communicate with the public";"Answer to questions";"";"health number 1450 for medical questions and symptoms";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"57";57;"Austria";"AUT";"Austria";"03/03/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for passengers from high-risk areas other than China";"Passengers from Iran and South Korea";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"58";58;"Austria";"AUT";"Austria";"05/03/2020";"Risk communication";"Travel alert";"Level 5: Lombardy and the municipality of Vo Euganeo in Veneto / Italy";"";"partial travel warnings (security level 5) apply to all of Lombardy and the municipality of Vo Euganeo in Veneto / Italy";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"59";59;"Austria";"AUT";"Austria";"05/03/2020";"Risk communication";"Travel alert";"Level 6: Iran, South Korea";"";"travel warnings (security level 6) for Iran and South Korea .";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"60";60;"Austria";"AUT";"Austria";"06/03/2020";"Case identification, contact tracing and related measures";"Airport health check";"Health certificate requested";"Passengers from South Korea, Iran and Northern Italy need medical certificate to enter Austria";"";"https://www.vindobona.org/article/coronavirus-in-austria-live-ticker"
"61";61;"Austria";"AUT";"Austria";"06/03/2020";"Travel restriction";"Travel restriction to high-risk areas";"No direct flights to South Korea, Iran and Northern Italy";"But transports of goods allowed";"In air traffic, landing bans now apply to direct flights from China, Iran, South Korea and Italy. Freight, mission, ambulance and transfer flights are excluded.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"62";62;"Austria";"AUT";"Austria";"10/03/2020";"Risk communication";"Travel alert";"Level 6: Italy (whole)";"";"Security level 6 (travel warning) applies to all of Italy";"https://www.derstandard.at/story/2000115490693/erstmals-mehr-als-100-coronavirus-erkrankte-in-oesterreich-bekannt"
"63";63;"Austria";"AUT";"Austria";"10/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"Denial entry of travellers from Iran, South Korea and flights from the northern Italian airports";"A landing ban will be imposed on Tuesday, March 10, 2020 for direct flights from China, Iran, South Korea and flights from the northern Italian airports.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"64";64;"Austria";"AUT";"Austria";"10/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from China";"";"A landing ban will be imposed on Tuesday, March 10, 2020 for direct flights from China, Iran, South Korea and flights from the northern Italian airports.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"65";65;"Austria";"AUT";"Austria";"10/03/2020";"Risk communication";"Call for return of nationals living abroad";"";"";"Austrian travelers are strongly advised to return to Austria.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"66";66;"Austria";"AUT";"Austria";"10/03/2020";"Case identification, contact tracing and related measures";"Border health check";"Health certificate requested";"People from Italy";"An entry from Italy is only permitted if a medical health certificate can be presented. A transit through Austria coming from Italy is only permitted if there is no stopover in Austria.";"https://infothek.bmvit.gv.at/massnahmen-bei-der-einreise-aus-sars-cov-2-risikogebieten/"
"67";67;"Austria";"AUT";"Austria";"10/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Indoor events limited up to 100 people";"";"https://www.derstandard.at/jetzt/livebericht/2000115596552/coronavirus-schulschliessungen-werden-vorbereitet-wirtschaft-leidet?responsive=false"
"68";68;"Austria";"AUT";"Austria";"10/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 500 persons";"Outdoor";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"69";69;"Austria";"AUT";"Austria";"10/03/2020";"Social distancing";"Return operation of nationals living in regions at risk";"Italy";"Quarantine";"";"https://www.derstandard.at/jetzt/livebericht/2000115559530/coronavirus-ganz-italien-wird-zur-sperrzone-oesterreichs-regierung-reagiert-mit"
"70";70;"Austria";"AUT";"Austria";"11/03/2020";"Risk communication";"Educate and actively communicate with the public";"Advice for special populations";"Recommendation to reduce contact to hospital patients";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"71";71;"Austria";"AUT";"Austria";"16/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"Airport stopping flights to Spain, France, Switzerland";"";"https://www.derstandard.at/story/2000115724358/coronavirus-fuenf-gemeinden-unter-quarantaene-lebensmittelgeschaefte-bleiben-geoeffnet"
"72";72;"Austria";"AUT";"Austria";"16/03/2020";"Travel restriction";"Border restriction";"Borders closed for people from high-risk areas other than China";"Borders closed for people from Switzerland";"";"https://ec.europa.eu/home-affairs/what-we-do/policies/borders-and-visas/schengen/reintroduction-border-control_en"
"73";73;"Austria";"AUT";"Austria";"13/03/2020";"Resource allocation";"Crisis management plans";"Traffic enactments";"Suspended driving ban on Sunday for trucks transporting food and hygiene products";"In order to ensure the supply of medical products and everyday goods, the weekend driving bans for trucks of 7.5 tons and above are suspended immediately across Austria. This was announced by Minister of Transport Leonore Gewessler.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"74";74;"Austria";"AUT";"Austria";"16/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of universities, research institutions";"";"https://www.derstandard.at/jetzt/livebericht/2000115596552/coronavirus-schulschliessungen-werden-vorbereitet-wirtschaft-leidet?responsive=false"
"75";75;"Austria";"AUT";"Austria";"16/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"People are only allowed to leave their homes to do work which cannot be postponed, run important errands or help others.";"";"https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/bundeskanzler-kurz-dankt-oesterreichs-bevoelkerung-und-ruft-dazu-auf-zu-hause-zu-bleiben.html"
"76";76;"Austria";"AUT";"Austria";"16/03/2020";"Social distancing";"Small gathering cancellation";"Complete prohibition of gathering";"";"";"https://www.derstandard.at/jetzt/livebericht/2000115596552/coronavirus-schulschliessungen-werden-vorbereitet-wirtschaft-leidet?responsive=false"
"77";77;"Austria";"AUT";"Austria";"16/03/2020";"Social distancing";"Measures for special populations";"Measures to limit contact to hospital patients";"Close hospitals for visitors";"";"https://wien.orf.at/stories/3038656/"
"78";78;"Austria";"AUT";"Austria";"16/03/2020";"Social distancing";"Small gathering cancellation";"Closure of non-essential shops";"";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"79";79;"Austria";"AUT";"Austria";"16/03/2020";"Social distancing";"Small gathering cancellation";"Partial closure of restaurants/bars/cafes";"";"As of Monday, restaurants, bars and cafes will only be open until 3 p.m.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"80";80;"Austria";"AUT";"Austria";"16/03/2020";"Social distancing";"Small gathering cancellation";"Limit up to 5 persons";"";"Meetings are completely forbidden, in no place should more than five people meet at the same time. The restrictions in public places from now on by the police.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"81";81;"Austria";"AUT";"Austria";"16/03/2020";"Social distancing";"Small gathering cancellation";"Start of possible implementation of part-time work";"";"";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"82";82;"Austria";"AUT";"Tyrol";"16/03/2020";"Travel restriction";"Cordon sanitaire";"More than one city";"5 towns in Tyrol";"Paznaun in Tiroler Oberland and St. Anton am Arlberg";"https://www.derstandard.at/jetzt/livebericht/2000115867752/coronavirus-auch-soelden-und-st-christoph-unter-quarantaene-eu-beschliesst?responsive=false"
"83";83;"Austria";"AUT";"Austria";"13/03/2020";"Risk communication";"Travel alert";"World (security level 4 of 6)";"";"All countries worldwide are set to high security risk (security level 4 of 6)";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"84";84;"Austria";"AUT";"Vienna";"16/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Beds";"";"Preparation of 880 beds in Messe Wien for COVID-19 patients";"https://www.derstandard.at/story/2000115724358/coronavirus-fuenf-gemeinden-unter-quarantaene-lebensmittelgeschaefte-bleiben-geoeffnet"
"85";85;"Austria";"AUT";"Vienna";"16/03/2020";"Travel restriction";"National lockdown";"";"";"The Federal Government is calling for an exit restriction for all of Austria. Leaving the house should only happen in exceptional cases: 1. for professional work that cannot be postponed, 2. for urgent errands (groceries), 3. if you have to help other people or the general public, or 4. to move outdoors alone or with roommates .";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"86";86;"Austria";"AUT";"Austria";"17/03/2020";"Social distancing";"Small gathering cancellation";"Complete closure of restaurants/bars/cafes";"";"";"https://fm4.orf.at/stories/3000031/"
"87";87;"Austria";"AUT";"Austria";"17/03/2020";"Risk communication";"Call for return of nationals living abroad";"Quarantine for all incoming nationals";"";"Austrian nationals are advised to return home immediately";"https://www.vindobona.org/article/austrian-airlines-extends-china-flight-ban-as-coronavirus-toll-climbs"
"88";88;"Austria";"AUT";"Region Arlberg";"17/03/2020";"Travel restriction";"Cordon sanitaire";"One region";"";"";"https://www.derstandard.at/jetzt/livebericht/2000115867752/coronavirus-auch-soelden-und-st-christoph-unter-quarantaene-eu-beschliesst?responsive=false"
"89";89;"Austria";"AUT";"Austria";"17/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"France, Switzerland and Spain";"landing bans for flights from France, Switzerland and Spain will come into effect from 17.03.2020 00:00.";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
"90";90;"Austria";"AUT";"Austria";"14/03/2020";"Risk communication";"Call for return of nationals living abroad";"";"";"Austrian travelers are once again urged to start their journey home after the travel warnings of the BMEIA were extended yesterday and all countries worldwide were set to high security risk (security level 4 of 6) !";"https://infothek.bmvit.gv.at/coronavirus-reisehinweise-aktuelle-informationen/"
