Country,iso3c,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Comment,Source
Albania,ALB,Albania,14/03/2020,Risk communication,Encourage self-initiated quarantine,For special populations,Over 70s,"""Over 70s have been asked not to leave their homes.""",https://exit.al/en/2020/03/14/all-you-need-to-know-about-albanias-coronavirus-lockdown/
Albania,ALB,Albania,25/02/2020,Healthcare and public health capacity,Enhance healthcare capacity,Healthcare equipement,Funds to increase PPE,"""Albanian Ministry of Health and Social Protection met with the Technical Expert Committee, and decided to increase its hospital budget by $1 million, to increase the stock of personal protection equipment.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,10/03/2020,Healthcare and public health capacity,Enhance healthcare capacity,Human ressource,Monetary bonuses,"""Bonuses of 1000 euros were added to the salaries of medical staff""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,25/02/2020,"Case identification, contact tracing and related measures",Enhance the system,Research and test of suspected cases,National Emergency Number,"""citizens that suspect they have contracted the virus should call the designated National Emergency Number 127.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,16/03/2020,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,Ban on sitting in public places,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania ---  https://exit.al/en/2020/03/16/albanian-government-imposes-1800-curfew-and-ban-on-sitting-in-public-places/
Albania,ALB,Albania,10/03/2020,Social distancing,Mass gathering cancellation,Closure of restaurants/bars/cafes,Total,"""Bars, restaurants, gyms, discos and venues with live music were ordered to close.""",
Albania,ALB,Albania,08/03/2020,Social distancing,Mass gathering cancellation,Complete prohibition of gathering,,"""authorities had also ordered cancellations of all large public gatherings including cultural events.""",https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,15/03/2020,Social distancing,Mass gathering cancellation,Cultural events,"theatres, cinemas, concerts, etc.","""All museums, cinemas, theatres, and public parks were closed indefinitely.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,10/03/2020,Social distancing,Mass gathering cancellation,Indoor activities,"Fitness gym, music classes…","""Bars, restaurants, gyms, discos and venues with live music were ordered to close.""",https://www.tiranatimes.com/?p=144535 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,11/03/2020,Social distancing,Mass gathering cancellation,Place of worship,Muslim Community,"""The Muslim community announced on 11 March that all sermons, prayers and other activities, including jummahs, and mosques were canceled, and told all believers to quarantine themselves and observe prayers at home in private, and rigorously follow and observe the recommendations of the World Health Organization.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,12/03/2020,Social distancing,Mass gathering cancellation,Place of worship,Autocephalous Orthodox Church - Services canclled except Divine Liturgy on Sunday,"""The Albanian Autocephalous Orthodox Church announced on 12 March the suspension of all services until 3 April, except for the Divine Liturgy on Sunday, in which it encouraged followers to come for ""healing"" but keep a distance from each other.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,12/03/2020,Social distancing,Mass gathering cancellation,Place of worship,Catholic Church - All services cancelled except for private confession,"""The Catholic church suspended all diocesan and parish activities, all liturgical celebrations including the Holy Mass, all catechisms, all educational courses at community centers and all other parish and diocesan activities..""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,12/03/2020,Social distancing,Mass gathering cancellation,Place of worship,Albanian Evangelical Church - All services tramitted services online,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,08/03/2020,Social distancing,Mass gathering cancellation,Sport events,,"""Rama said authorities had also ordered cancellations of all large public gatherings including cultural events and were asking sporting federations to cancel scheduled matches..""",https://uk.reuters.com/article/uk-health-coronavirus-albania/albania-halts-schools-italy-flights-ferries-over-coronavirus-idUKKBN20W01E?il=0 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,10/03/2020,Travel restriction,National lockdown,,,Citizens alerted on National Lockdown via text message service.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania ---  https://www.tiranatimes.com/?p=144535
Albania,ALB,Albania,10/03/2020,Healthcare and public health capacity,Scale up emergency response mechanisms,Mobilize other forces,Police and military forces,"""The police and military forces are patrolling the streets of Albania to make sure self-quarantine protocol is observed by those who traveled to Italy, Greece or other countries with the coronavirus outbreak. Fines up to 5000 euros are to be applied..""",https://www.tiranatimes.com/?p=144535 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,Albania,25/02/2020,"Case identification, contact tracing and related measures",Specific health channel for travellers,from high-risk areas,All Albanian citizens,""" Albanian citizens arriving from China, Singapore, Iran, South Korea or Italy, to call the same number, so that a medical group with protective suits can escort them to an infections hospital for testing, with all samples sent to the Public Health Institute.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,"Shkodër-Lezhë, Elbasani-Korçë,  Lushnjë-Fieri,  Fieri-Vlorë ",15/03/2020,Travel restriction,Stop public transports,,"Public transport ban in Shkodër-Lezhë, Elbasani-Korçë, Lushnjë-Fieri, and Fieri-Vlorë roads",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,"Shkodra, Lezha, Elbasani, Lushnja, Fieri, Vlora",13/03/2020,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,Private vehicles banned,"""From Friday 06:00 to Sunday midnight, the circulation of private vehicles and public transport vehicles in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora will be banned. """,https://www.tiranatimes.com/?p=144535 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Albania,ALB,"Tirana, Durres",13/03/2020,Travel restriction,Stop public transports,,,"“Staring Friday 06:00am to Sunday midnight, the circulation of private cars and those of interurban public transport vehicles, between Tirana and Durres will be banned.""",https://www.tiranatimes.com/?p=144535 ---  https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Albania
Austria,AUT,Austria,20/03/2020,Risk communication,Activate communication to the public,,,All corona measures are being extended until April 13,
Austria,AUT,Austria,27/01/2020,Healthcare and public health capacity,Activate emergency response mechanisms,covid-19 as a notifiable disease,,,
Austria,AUT,Austria,27/02/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Nationwide guidelines,,,https://www.derstandard.at/jetzt/livebericht/2000115088241/1000180564/coronaviruserster-bestaetigter-fall-in-wien
Austria,AUT,Austria,27/02/2020,Risk communication,Actively communicate with healthcare professionals,,,,https://www.derstandard.at/story/2000115078649/militaeruebungen-usa-suedkorea-wegen-coronavirus-ausgesetzt
Austria,AUT,Austria,10/03/2020,Travel restriction,Airport health check,Denial entry of travellers from Italy,Health certificate requested,,
Austria,AUT,Austria,06/03/2020,"Case identification, contact tracing and related measures",Airport health check,Health certificate requested,"Passengers from South Korea, Iran and Northern Italy need medical certificate to enter Austria",,
Austria,AUT,Austria,03/03/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature,Passangers from Iran and South Korea,,
Austria,AUT,Austria,24/02/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from China,,,
Austria,AUT,Austria,05/02/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers on direct flights from China,,,
Austria,AUT,Austria,16/03/2020,Travel restriction,Airport restriction,"Denial entry of travellers from ""high-risk"" countries other than China","Airport stopping flights to Spain, France, Switzerland",,https://www.derstandard.at/story/2000115724358/coronavirus-fuenf-gemeinden-unter-quarantaene-lebensmittelgeschaefte-bleiben-geoeffnet
Austria,AUT,Austria,10/03/2020,Travel restriction,Border health check,Denial entry of travellers from Italy,Health certificate requested,,
Austria,AUT,Austria,06/03/2020,"Case identification, contact tracing and related measures",Border health check,Health certificate requested,Health Checks at Italian border,,
Austria,AUT,Austria,16/03/2020,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,Borders closed for people from Switzerland,,
Austria,AUT,Austria,17/03/2020,Risk communication,Call for return of nationals living abroad,Quarantine for all incoming nationals,Austrian nationals are advised to return home immediately,,
Austria,AUT,Austria,03/02/2020,Travel restriction,Cancellation of international flights,Partial,China,AUA announced they will not be flying to China anymore. Air China is still flying to Vienna airport.,
Austria,AUT,Austria,16/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Complete closure of primary and secondary schools,,
Austria,AUT,Austria,16/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,"Complete closure of universities, research institutions",,
Austria,AUT,Austria,10/03/2020,Social distancing,Closure of educational institutions,Partial closure of educational institutions,"Partial closure of universities, research institutions",Medical University of Vienna stops teaching operation,
Austria,AUT,Austria,18/03/2020,Social distancing,Closure of educational institutions,Partial closure of educational institutions,Partial closure of kindergardens,,
Austria,AUT,Austria,18/03/2020,Social distancing,Closure of educational institutions,Partial closure of educational institutions,Partial closure of primary and secondary schools,,
Austria,AUT,Austria,18/03/2020,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,38 billion euros,,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/hilfspaket-von-bis-zu-38-milliarden-euro-zur-bewaeltigung-der-coronavirus-Folgen.html
Austria,AUT,Austria,18/03/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"Message for pregnant women, elderly and at risk profesions",,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/schwangere-aeltere-und-personen-mit-vorerkrankungen-schuetzen.html
Austria,AUT,Austria,27/01/2020,Risk communication,Educate and actively communicate with the public,Answer to questions,Set up telephone hotlines covid-19,,https://www.ots.at/presseaussendung/OTS_20200224_OTS0129/neuartiges-coronavirus-ages-infoline-0800-555-621-ab-sofort-7-tage-in-der-woche-0-24-uhr
Austria,AUT,Austria,24/02/2020,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Press Conference,Information camgaign by interior ministry and Department of Health,
Austria,AUT,Austria,11/03/2020,Risk communication,Educate and actively communicate with the public,Protect population at risk,Recommendation to reduce contact to hospital patients,,
Austria,AUT,Austria,24/02/2020,Risk communication,Educate and actively communicate with the public,Provide new Hotline, by AGES (Austrian Agency for Health and Food Safety),,https://www.ots.at/presseaussendung/OTS_20200224_OTS0129/neuartiges-coronavirus-ages-infoline-0800-555-621-ab-sofort-7-tage-in-der-woche-0-24-uhr
Austria,AUT,Austria,28/01/2020,Risk communication,Educate and actively communicate with the public,The Foreign Ministry raises the securtiy risk for China (level 2),Ministry advises on postponing not crucial travel to China,,
Austria,AUT,Austria,10/02/2020,Healthcare and public health capacity,Enhance emergency response mechanisms,Set up crisis units,,,https://www.derstandard.at/story/2000114365338/coronavirus-60-weitere-faelle-auf-kreuzfahrtschiff-in-japan
Austria,AUT,Austria,28/02/2020,Healthcare and public health capacity,Enhance healthcare capacity,Scale-up surge plans for health facilities,200000 EUR additionally per month for medical services,,
Austria,AUT,Austria,10/02/2020,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),Tests are established at more sites,,
Austria,AUT,Austria,28/02/2020,Healthcare and public health capacity,Enhance laboratory testing,Increase testing capacity (number tests),200 additional medical professionals for testing at people's homes,,
Austria,AUT,Austria,27/02/2020,"Case identification, contact tracing and related measures",Enhance laboratory testing,Research and test of contacts,,,
Austria,AUT,Austria,27/02/2020,"Case identification, contact tracing and related measures",Enhance laboratory testing,Test cases and suspected cases,,,
Austria,AUT,Austria,16/03/2020,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,"People are only allowed to leave their homes to do work which cannot be postponed, run important errands or help others.",,https://www.derstandard.at/jetzt/livebericht/2000115756921/parlament-beschliesst-am-sonntag-gesetze-fuer-corona-massnahmen?fbclid=IwAR3W7Z_hnWmwlrTlSUQE33iD_7C6-77ozZKNtH5UL98hEQaiLHPDgxWmslw&responsive=false
Austria,AUT,Austria,18/03/2020,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,,,https://www.bundeskanzleramt.gv.at/bundeskanzleramt/nachrichten-der-bundesregierung/2020/bundeskanzler-kurz-dankt-oesterreichs-bevoelkerung-und-ruft-dazu-auf-zu-hause-zu-bleiben.html
Austria,AUT,Austria,28/01/2020,"Case identification, contact tracing and related measures",Isolation of cases,Admitted patients are isolated and according to the pandemic plan,there are 688 beds available.,,
Austria,AUT,Austria,27/01/2020,"Case identification, contact tracing and related measures",Isolation of cases,,Kaiser-Franz-Josef-Spital,,
Austria,AUT,Austria,16/03/2020,Social distancing,Mass gathering cancellation,Complete prohibition of gathering,,,
Austria,AUT,Austria,10/03/2020,Social distancing,Mass gathering cancellation,Cultural events,Indoor events limited up to 100 people,,
Austria,AUT,Austria,10/03/2020,Social distancing,Mass gathering cancellation,Outdoor events limited up to 500 people,Sporting events,"Soccer Games, Demonstrations",https://orf.at/stories/3157262/
Austria,AUT,Austria,16/03/2020,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,Close hospitals for visitors,,
Austria,AUT,Austria,18/03/2020,Social distancing,Measures for special populations,Measures to limit contact to the elderly,Some supermarkets offer one hour for people at risk (elderly people),"Billa, Lidl, Hofer",
Austria,AUT,Austria,18/03/2020,Social distancing,Measures for special populations,More exposed professionals (not healthcare),Cashiers,Installments of plexiglass pane for cahsdesks,https://www.kleinezeitung.at/wirtschaft/5786398/Sicherer-Einkauf_Supermaerkte-errichten-Plexiglasschutzwaende-an
Austria,AUT,Austria,30/01/2020,Travel restriction,Partial cancellation of international flights,Austrian Airlines - China,The last flights of AUA to Peking and Shanghai are operated.,,
Austria,AUT,Austria,16/03/2020,Social distancing,Partial closure of educational institutions,Closure of educational institutions,Closure of kindergardens,,https://www.derstandard.at/jetzt/livebericht/2000115645725/coronavirus-einreiseverbot-fuer-europaeer-in-die-usa
Austria,AUT,Austria,20/03/2020,Social distancing,Return operation of nationals living abroad,Quarantine,Last returns,,
Austria,AUT,Austria,01/02/2020,Social distancing,Return operation of nationals living in regions at risk,Hubei,Quarantine,,
Austria,AUT,Austria,08/02/2020,Social distancing,Return operation of nationals living in regions at risk,Hubei,Quarantine,2nd return operation of nationals living in Hubei,
Austria,AUT,Austria,10/03/2020,Social distancing,Return operation of nationals living in regions at risk,Italy,Quarantine,,https://www.derstandard.at/jetzt/livebericht/2000115559530/coronavirus-ganz-italien-wird-zur-sperrzone-oesterreichs-regierung-reagiert-mit
Austria,AUT,Austria,05/02/2020,Healthcare and public health capacity,Scale up emergency response mechanisms,Mobilize other forces,"A team from Donau-Universität Krems is hired to conduct studies by the WHO. This ""Rapid Response Team"" consists of 10 scientific reasearchers and students.",,https://www.derstandard.at/story/2000114843989/geschaeftemacherei-mit-dem-coronavirus-aufdecken
Austria,AUT,Austria,16/03/2020,Social distancing,Small gathering cancellation,Closure of non-essential shops,,,
Austria,AUT,Austria,21/03/2020,Social distancing,Small gathering cancellation,Closure of rehabilitation institutions,,,https://www.derstandard.at/jetzt/livebericht/2000115917628/ganz-tirol-steht-seit-mitternacht-unter-quarantaene
Austria,AUT,Austria,16/03/2020,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,,,
Austria,AUT,Austria,16/03/2020,Social distancing,Small gathering cancellation,Limit up to 5 persons,,,
Austria,AUT,Austria,20/03/2020,Social distancing,Small gathering cancellation,Mandatory home office,Place of work may only be entered if work cannot be done at home,,
Austria,AUT,Austria,20/03/2020,Social distancing,Small gathering cancellation,Partial closure of essential shops,Supermarkets may open until 7pm,,
Austria,AUT,Austria,19/03/2020,Social distancing,Small gathering cancellation,Partial closure of public spaces,"parks, playgrounds",,https://www.derstandard.at/jetzt/livebericht/2000115867752/coronavirus-auch-soelden-und-st-christoph-unter-quarantaene-eu-beschliesst
Austria,AUT,Austria,16/03/2020,Social distancing,Small gathering cancellation,Start of possible implementation of part-time work,,,
Austria,AUT,Austria,13/03/2020,Risk communication,Social distancing,Promote the 2m distance,,,
Austria,AUT,Austria,06/03/2020,Travel restriction,Travel restriction to high-risk areas,"No direct flights to South Korea, Iran and Northern Italy",,,
Austria,AUT,Carinthia,23/02/2020,Risk communication,Actively communicate with stakeholders,,Health agencies and Carinthian government,,https://www.ots.at/presseaussendung/OTS_20200223_OTS0024/corona-virus-weitere-vorgehensweise-fuer-kaernten-festgelegt
Austria,AUT,Region Arlberg,17/03/2020,Social distancing,Mandatory quarantine of the region Arlberg in Vorarlberg,One region,,,
Austria,AUT,Tyrol,16/03/2020,Travel restriction,Cordon sanitaire,More than one city,5 towns in Tyrol,Paznaun in Tiroler Oberland and St. Anton am Arlberg,
Austria,AUT,Tyrol,18/03/2020,Travel restriction,Cordon sanitaire,One region,,,
Austria,AUT,Vienna,19/03/2020,Travel restriction,Airports closing for domestic flights,Toal,Last regular AUA flight lands in Vienna,,
Austria,AUT,Vienna,19/03/2020,Travel restriction,Cancellation of international flights,Toal,Last regular AUA flight lands in Vienna,,
Austria,AUT,Vienna,16/03/2020,Healthcare and public health capacity,Scale up healthcare capacity,Scale up surge plans for health facilities,Preparation of 880 beds in Messe Wien for COVID-19 patients,,https://www.derstandard.at/story/2000115724358/coronavirus-fuenf-gemeinden-unter-quarantaene-lebensmittelgeschaefte-bleiben-geoeffnet
Belgium,BEL,Belgium,26/02/2020,Healthcare and public health capacity,Activate healthcare capacity,Activate surge plans for health facilities,Increase patient capacity,Construction of container extension to hospital,https://www.gva.be/cnt/dmf20200226_04865807/uz-antwerpen-bouwt-containerafdeling-voor-patienten-mogelijk-besmet-met-coronavirus
Belgium,BEL,Belgium,29/01/2020,Travel restriction,Cancellation of international flights,Partial,China,,https://www.vrt.be/vrtnws/nl/2020/01/29/buitenlandse-zaken-raadt-alle-niet-essentiele-reizen-naar-china/
Belgium,BEL,Belgium,13/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Complete closure of primary and secondary schools,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/
Belgium,BEL,Belgium,10/03/2020,Social distancing,Closure of educational institutions,"Reduction of excursions, out-of-house events",,Government recommendation,https://www.zorg-en-gezondheid.be/versterkte-fase-2
Belgium,BEL,Belgium,03/02/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"press conference, national TV",Minister De Block mentioned there was no reason to panic and said Belgium could cope with the epidemic,https://www.standaard.be/cnt/dmf20200301_04871378
Belgium,BEL,Belgium,16/03/2020,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,National TV,address to the public by the king,https://www.vrt.be/vrtnws/en/2020/03/17/king-filip-calls-on-belgians-to-respect-the-covid-19-measures-fo/
Belgium,BEL,Belgium,10/03/2020,Risk communication,Encourage self-initiated quarantine,Recommendation for home office,,Government recommendation,https://www.zorg-en-gezondheid.be/versterkte-fase-2
Belgium,BEL,Belgium,16/03/2020,Healthcare and public health capacity,Enhance healthcare capacity,Enhance healthcare equipement,Increase number of FFP2 and FFP3 respirators and surgical masks,Call to the public to donate masks to hospitals,https://www.uzleuven.be/nl/nieuws/oproep-voor-mondmaskers
Belgium,BEL,Belgium,18/03/2020,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,,,https://www.vrt.be/vrtnws/nl/2020/03/17/liveblog-17-maart/
Belgium,BEL,Belgium,18/03/2020,Social distancing,Mass gathering cancellation,Complete prohibition of gathering,,,https://www.vrt.be/vrtnws/nl/2020/03/17/liveblog-17-maart/
Belgium,BEL,Belgium,29/01/2020,Social distancing,Mass gathering cancellation,Cultural events,Celebrations of Chinese New Year,,https://www.vrt.be/vrtnws/nl/2020/01/29/iedereen-aan-de-mondmaskers-wie-familie-heeft-in-china-koopt-oo/
Belgium,BEL,Belgium,13/03/2020,Social distancing,Mass gathering cancellation,Cultural events,"theatres, cinemas, concerts, etc.",,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/
Belgium,BEL,Belgium,13/03/2020,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/
Belgium,BEL,Belgium,10/03/2020,Social distancing,Mass gathering cancellation,Limit up to 1000 persons,,Government recommendation,https://www.standaard.be/cnt/dmf20200310_04884455
Belgium,BEL,Belgium,13/03/2020,Social distancing,Mass gathering cancellation,Sport events,,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/
Belgium,BEL,Belgium,20/03/2020,Travel restriction,Non-essential travels forbidden,,,,https://www.vrt.be/vrtnws/en/2020/03/20/borders-closed-to-non-essential-travel/
Belgium,BEL,Belgium,01/03/2020,"Case identification, contact tracing and related measures",Research and test of contacts,,,,https://www.brusselstimes.com/belgium/98009/belgium-enters-phase-2-for-coronavirus-what-does-it-mean/
Belgium,BEL,Belgium,07/03/2020,"Case identification, contact tracing and related measures",Research and test of suspected cases,Triage system for tests,,Lack of reagents to test all cases,https://www.nieuwsblad.be/cnt/dmf20200307_04880150
Belgium,BEL,Belgium,01/02/2020,Social distancing,Return operation of nationals living in regions at risk,Hubei,Quarantine,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Belgium#cite_note-24
Belgium,BEL,Belgium,01/03/2020,"Case identification, contact tracing and related measures",Enhance the system,Search for and/or monitor contacts,,,https://www.brusselstimes.com/belgium/98009/belgium-enters-phase-2-for-coronavirus-what-does-it-mean/
Belgium,BEL,Belgium,18/03/2020,Social distancing,Small gathering cancellation,Closure of non-essential shops,,,https://www.vrt.be/vrtnws/nl/2020/03/17/liveblog-17-maart/
Belgium,BEL,Belgium,13/03/2020,Social distancing,Small gathering cancellation,Closure of restaurants/bars/cafes,total,,https://www.info-coronavirus.be/nl/2020/03/12/fase-2-gehandhaafd-overgang-naar-de-federale-fase-en-bijkomende-maatregelen/
Belgium,BEL,Belgium,18/03/2020,Social distancing,Small gathering cancellation,Police and army control and sanctions,,,https://www.vrt.be/vrtnws/nl/2020/03/17/liveblog-17-maart/
Belgium,BEL,Belgium,04/02/2020,"Case identification, contact tracing and related measures",Tracing and monitoring,Cases,,,https://www.brusselstimes.com/all-news/belgium-all-news/93361/first-case-of-coronavirus-confirmed-in-belgium/
Belgium,BEL,Sint-Lambrechts-Woluwe,01/03/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,Partial quarantine,"Restriction of access to schools, preschools, sports facilities and public places for persons returning from areas at risk",https://www.nieuwsblad.be/cnt/dmf20200301_04870946
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,17/03/2020,Risk communication,Actively communicate with healthcare professionals,Health agencies and emergency healthcare,,"TV, social media",
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,17/03/2020,Risk communication,Educate and actively communicate with the public,Encourage hand hygiene,,"TV, social media",
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,17/03/2020,Risk communication,Educate and actively communicate with the public,Encourage self-initiated quarantine,,"TV, social media",
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,17/03/2020,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Do not touch eyes/nose/mouth,"TV, social media",
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,17/03/2020,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Sneeze/cough in the elbow,,"TV, social media"
Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,17/03/2020,Risk communication,Educate and actively communicate with the public,Respiratory etiquette,Promote the use of face mask,The use of face masks in public places is required,"TV, social media"
Bosnia and Herzegovina,BIH,Federation of Bosnia and Herzegovina,16/03/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Declare emergency state,,"TV, social media",
Bosnia and Herzegovina,BIH,Federation of Bosnia and Herzegovina,15/03/2020,Travel restriction,Border restriction,Borders closed for passengers but open for food supply,,Applies to passengers from Bosnia and Herzegowina travelling to Serbia or Montenegro. ,http://www.fucz.gov.ba/sazetak-redovnog-izvjestaja-o-stanju-u-federaciji-bih-za-dane-15-16-03-2020-godine-do-1000-sati/
