"parent","link","child","value"
"Crisis management plans","L2-L3","Funding for non-profit institutions",1
"Crisis management plans","L2-L3","Measures for special populations",1
"Crisis management plans","L2-L3","Repurpose government plans",39
"Crisis management plans","L2-L3","State aid, taxation and social security",175
"Economic measure to stimulate consumption","L2-L3","Direct support to people with low income",1
"Economic measure to stimulate consumption","L2-L3","Direct support to the population",3
"Educate and actively communicate with the public","L2-L3","Announce extension of the restrictions",1
"Educate and actively communicate with the public","L2-L3","Answer to questions",86
"Educate and actively communicate with the public","L2-L3","Call for return of nationals living abroad",20
"Educate and actively communicate with the public","L2-L3","Communication targets nationals living abroad",2
"Educate and actively communicate with the public","L2-L3","Communication targets protection of vulnerable populations",20
"Educate and actively communicate with the public","L2-L3","Direct advice to vulnerable populations",15
"Educate and actively communicate with the public","L2-L3","Direct government communication",51
"Educate and actively communicate with the public","L2-L3","Discourage non-essential travels",1
"Educate and actively communicate with the public","L2-L3","Encourage donation for covid19 crisis",2
"Educate and actively communicate with the public","L2-L3","Encourage environmental disinfection",5
"Educate and actively communicate with the public","L2-L3","Encourage hand hygiene",46
"Educate and actively communicate with the public","L2-L3","Encourage self-initiated quarantine",21
"Educate and actively communicate with the public","L2-L3","Encourage stay at home",52
"Educate and actively communicate with the public","L2-L3","Encourage to call before medical visit",2
"Educate and actively communicate with the public","L2-L3","Encourage vaccination against respiratory diseases other than covid19",7
"Educate and actively communicate with the public","L2-L3","Encourage visitors to not enter the state if sick",1
"Educate and actively communicate with the public","L2-L3","Foster community assistance",13
"Educate and actively communicate with the public","L2-L3","Guidelines",9
"Educate and actively communicate with the public","L2-L3","Guidelines for persons in quarantine",8
"Educate and actively communicate with the public","L2-L3","Hydroxychloroquine now a schedule H1 drug, can be sold on prescription only",1
"Educate and actively communicate with the public","L2-L3","Implement communication tool",4
"Educate and actively communicate with the public","L2-L3","Information about travels",17
"Educate and actively communicate with the public","L2-L3","Information bulletin",6
"Educate and actively communicate with the public","L2-L3","Information campaign",104
"Educate and actively communicate with the public","L2-L3","Promote health check if respiratory symptoms",9
"Educate and actively communicate with the public","L2-L3","Promote hygiene measures and social distancing",6
"Educate and actively communicate with the public","L2-L3","Promote self-health check",2
"Educate and actively communicate with the public","L2-L3","Promote self-initiated isolation of people with mild respiratory symptoms",33
"Educate and actively communicate with the public","L2-L3","Promote social distancing measures",58
"Educate and actively communicate with the public","L2-L3","Promote telemedicine",8
"Educate and actively communicate with the public","L2-L3","Promote testing",7
"Educate and actively communicate with the public","L2-L3","Promote workplace safety measures",41
"Educate and actively communicate with the public","L2-L3","Provide information on the restrictions",1
"Educate and actively communicate with the public","L2-L3","Raising awareness of children in schools",3
"Educate and actively communicate with the public","L2-L3","Reassure on food security",1
"Educate and actively communicate with the public","L2-L3","Research of contacts",1
"Educate and actively communicate with the public","L2-L3","Respiratory etiquette",108
"Educate and actively communicate with the public","L2-L3","Safety during sport practice",2
"Educate and actively communicate with the public","L2-L3","Statement on the country level alert",2
"Educate and actively communicate with the public","L2-L3","Strengthen communication capacities",2
"Educate and actively communicate with the public","L2-L3","Support to parent",1
"Educate and actively communicate with the public","L2-L3","Use of public transport",9
"Enhance detection system","L2-L3","Broaden definition / special definition",6
"Enhance detection system","L2-L3","Extend test criteria",17
"Enhance detection system","L2-L3","Health evaluation of visitors before access to specific institutions",6
"Enhance detection system","L2-L3","Targeted testing",21
"Enhance detection system","L2-L3","Test contact or at risk of contact persons",17
"Enhance hygiene conditions","L2-L3","In markets",1
"Enhance laboratory testing capacity","L2-L3","Decrease time between test and result",6
"Enhance laboratory testing capacity","L2-L3","Increase laboratory facilities",37
"Enhance laboratory testing capacity","L2-L3","Increase testing capacity (number tests)",46
"Environmental cleaning and disinfection","L2-L3","",1
"Environmental cleaning and disinfection","L2-L3","Approval of new biocidal product",1
"Environmental cleaning and disinfection","L2-L3","Disinfect airplanes",1
"Environmental cleaning and disinfection","L2-L3","Disinfect businesses",1
"Environmental cleaning and disinfection","L2-L3","Disinfect educational institutions",8
"Environmental cleaning and disinfection","L2-L3","Disinfect hospitals",2
"Environmental cleaning and disinfection","L2-L3","Disinfect markets",6
"Environmental cleaning and disinfection","L2-L3","Disinfect mosques",1
"Environmental cleaning and disinfection","L2-L3","Disinfect nursing homes",1
"Environmental cleaning and disinfection","L2-L3","Disinfect public and semi-public spaces",17
"Environmental cleaning and disinfection","L2-L3","Disinfect public transports",14
"Environmental cleaning and disinfection","L2-L3","Disinfect shops",4
"Environmental cleaning and disinfection","L2-L3","Disinfect taxis",1
"Environmental cleaning and disinfection","L2-L3","Disinfect working places",1
"Environmental cleaning and disinfection","L2-L3","Economic support for environmental cleaning and disinfection",1
"Environmental cleaning and disinfection","L2-L3","One school",1
"Exemption of quarantine","L2-L3","Disembarkation of crew",2
"Exemption of quarantine","L2-L3","Disembarkation of passengers",2
"Exemption of quarantine","L2-L3","For certain workers",1
"Exemption of quarantine","L2-L3","For people who can prove they had covid-19",1
"Exemption of quarantine","L2-L3","For persons with a permanent or temporary residence permit",1
"Exemption of quarantine","L2-L3","Lift mandatory quarantine for commuters",6
"Exemption of quarantine","L2-L3","Lift mandatory quarantine for travellers from low risk areas",3
"Exemption of quarantine","L2-L3","Reduce quarantine period",1
"Increase availability of PPE","L2-L3","Face masks",81
"Increase availability of PPE","L2-L3","Hand sanitizers",5
"Increase availability of PPE","L2-L3","Increase domestic production of PPE",4
"Increase availability of PPE","L2-L3","PPE (not specified)",8
"Increase availability of PPE","L2-L3","PPE for healthcare professionals",26
"Increase availability of PPE","L2-L3","PPE other than face masks",18
"Increase availability of PPE","L2-L3","Prohibition of export of protective personal equipment",11
"Increase healthcare workforce","L2-L3","Exception to work law allowed",31
"Increase healthcare workforce","L2-L3","Incentives for healthcare workers",20
"Increase healthcare workforce","L2-L3","Mobilization of domestic resources for health",74
"Increase healthcare workforce","L2-L3","Movement restriction of healthcare professionals",11
"Increase healthcare workforce","L2-L3","Train medical staff especially for covid-19",12
"Increase in medical supplies and equipment","L2-L3","",2
"Increase in medical supplies and equipment","L2-L3","Ambulances",2
"Increase in medical supplies and equipment","L2-L3","Ban on exportation of medical equipment and drugs",11
"Increase in medical supplies and equipment","L2-L3","Delivery of medical supplies and equipment",6
"Increase in medical supplies and equipment","L2-L3","Diverse medical materials and equipment",13
"Increase in medical supplies and equipment","L2-L3","Ease access to drugs",3
"Increase in medical supplies and equipment","L2-L3","Facilitate import",1
"Increase in medical supplies and equipment","L2-L3","Increase delivery capacity for medical supplies",3
"Increase in medical supplies and equipment","L2-L3","Increase domestic production of medical equipment",5
"Increase in medical supplies and equipment","L2-L3","Respirators",14
"Increase in medical supplies and equipment","L2-L3","Secure necessary medical equipment stocks and distribution",4
"Increase in medical supplies and equipment","L2-L3","Thermometers",2
"Increase in medical supplies and equipment","L2-L3","Ventilators",17
"Increase isolation and quarantine facilities","L2-L3","",1
"Increase isolation and quarantine facilities","L2-L3","Isolation centers",9
"Increase isolation and quarantine facilities","L2-L3","Quarantine centers",18
"Increase patient capacity","L2-L3","Beds",18
"Increase patient capacity","L2-L3","Emergency hospitals",16
"Increase patient capacity","L2-L3","Increase ICU capacity",8
"Increase patient capacity","L2-L3","Increase medical consultation capacity",2
"Increase patient capacity","L2-L3","Increase number of medical institutions",20
"Increase patient capacity","L2-L3","Medicalise nursing home",2
"Increase patient capacity","L2-L3","Postponement of non-essential care and non-urgent operations in hospitals",39
"Individual movement restrictions","L2-L3","Curfew",31
"Individual movement restrictions","L2-L3","Movements for non-essential activities forbidden",62
"Individual movement restrictions","L2-L3","Non-essential travels abroad/out-of-state forbidden",23
"Individual movement restrictions","L2-L3","Partial restriction on movements",4
"Individual movement restrictions","L2-L3","Prohibition of moving out the municipality of residence",3
"Individual movement restrictions","L2-L3","Restrictions on the movements of children",2
"Individual movement restrictions","L2-L3","Segmentation of the population",5
"Isolation of cases","L2-L3","",22
"Isolation of cases","L2-L3","Asymptomatic carriers",1
"Isolation of cases","L2-L3","Epidemic plan",1
"Isolation of cases","L2-L3","Isolating and treating cases are priotities",1
"Isolation of cases","L2-L3","Law defining the standards for isolation of cases",1
"Isolation of cases","L2-L3","Mandatory",3
"Isolation of cases","L2-L3","Must be implemented in long-term care facilities",1
"Isolation of cases","L2-L3","Place of residence",1
"Isolation of cases","L2-L3","Quarantine for people arriving from Wuhan with severe cases of pneumonia",1
"Isolation of cases","L2-L3","Wuhan import",1
"Lift airport restrictions","L2-L3","Lift landing ban",1
"Lift airport restrictions","L2-L3","Resume domestic flights",1
"Lift airport restrictions","L2-L3","Resume international flights",4
"Lift personal protective measures","L2-L3","Lift obligation to cover mouth and nose in public",2
"Lift personal protective measures","L2-L3","Lift restriction on dead body management",1
"Lift restriction on individual movements","L2-L3","Allow movements for non-essential activities",6
"Lift restriction on individual movements","L2-L3","Allow non-essential travel in the country/state",1
"Lift restriction on individual movements","L2-L3","Lift of the curfew",1
"Lift restriction on individual movements","L2-L3","Partial lift of the curfew",7
"Lift restriction on individual movements","L2-L3","Partial lift of the curfew for children",1
"Lift restriction on individual movements","L2-L3","Partial lift of the curfew for the elderly",1
"Lift restriction on individual movements","L2-L3","Private transports allowed",2
"Lift restriction on individual movements","L2-L3","Segmentation of the population",1
"Lift restriction on individual movements","L2-L3","Sport competitors can resume training",3
"Lift restriction on mass gatherings","L2-L3","Lift ban on conferences, meetings, trade fairs",2
"Lift restriction on mass gatherings","L2-L3","Lift ban on familial and private gatherings",3
"Lift restriction on mass gatherings","L2-L3","Lift ban on festivals, faith-based events",2
"Lift restriction on mass gatherings","L2-L3","Lift ban on outdoor sport events",2
"Lift restriction on mass gatherings","L2-L3","Limit up to 150 persons",1
"Lift restriction on mass gatherings","L2-L3","Limit up to 200 persons",1
"Lift restriction on mass gatherings","L2-L3","Re-opening of certain shops",5
"Lift restriction on mass gatherings","L2-L3","Re-opening of cultural institutions",6
"Lift restriction on mass gatherings","L2-L3","Re-opening of indoor sport facilities",9
"Lift restriction on mass gatherings","L2-L3","Re-opening of markets",1
"Lift restriction on mass gatherings","L2-L3","Re-opening of outdoor attractions and touristic sites",4
"Lift restriction on mass gatherings","L2-L3","Re-opening of outdoor sports facilities",2
"Lift restriction on mass gatherings","L2-L3","Re-opening of places of worship",9
"Lift restriction on mass gatherings","L2-L3","Re-opening of public outdoor leisure facilities",1
"Lift restriction on mass gatherings","L2-L3","Re-opening of public places",5
"Lift restriction on mass gatherings","L2-L3","Re-opening of workplaces",4
"Lift restriction on mass gatherings","L2-L3","Resume activity in gastronomy and trade facilities",1
"Lift restriction on mass gatherings","L2-L3","Resume indoor hobbies and leisure activities",1
"Lift restriction on mass gatherings","L2-L3","Resume outdoor activities",1
"Lift restriction on public transports","L2-L3","Adaptive measures in public transports",1
"Lift restriction on public transports","L2-L3","Lift restrictions on the number of people allowed",1
"Lift restriction on small gatherings","L2-L3","Adaptive measure at work",1
"Lift restriction on small gatherings","L2-L3","Adaptive measure for shops",2
"Lift restriction on small gatherings","L2-L3","Adaptive measure for vulnerable population",1
"Lift restriction on small gatherings","L2-L3","Allow religious gatherings outdoor",1
"Lift restriction on small gatherings","L2-L3","Furniture, home-improvement and construction stores",1
"Lift restriction on small gatherings","L2-L3","Lift ban on familial and private gatherings",6
"Lift restriction on small gatherings","L2-L3","Lift ban on outdoor sport events",1
"Lift restriction on small gatherings","L2-L3","Limit up to 10 persons",1
"Lift restriction on small gatherings","L2-L3","Limit up to 1000 persons",1
"Lift restriction on small gatherings","L2-L3","Limit up to 20 persons",1
"Lift restriction on small gatherings","L2-L3","Limit up to 3 persons",1
"Lift restriction on small gatherings","L2-L3","Limit up to 50 persons",1
"Lift restriction on small gatherings","L2-L3","Limit up to 500 persons",1
"Lift restriction on small gatherings","L2-L3","Limit up to 6 persons",1
"Lift restriction on small gatherings","L2-L3","Re-opening of certain shops",32
"Lift restriction on small gatherings","L2-L3","Re-opening of judicial institutions",1
"Lift restriction on small gatherings","L2-L3","Re-opening of long-term facilities",1
"Lift restriction on small gatherings","L2-L3","Re-opening of public institutions",1
"Lift restriction on small gatherings","L2-L3","Re-opening of restaurants/bars/cafes",11
"Lift restriction on small gatherings","L2-L3","Re-opening of short-term accommodations and hotels",3
"Lift restriction on small gatherings","L2-L3","Resume indoor sport activities",1
"Lift restriction on small gatherings","L2-L3","Resume outdoor sports and activities",11
"Lift restriction on small gatherings","L2-L3","Resume private services",4
"Lift restriction on small gatherings","L2-L3","Resume public services",2
"Lift restriction on small gatherings","L2-L3","Sport competitors can resume training",3
"Lift travel restriction","L2-L3","Expand zone of travel",1
"Lift travel restriction","L2-L3","Lift cordon sanitaire",6
"Lift travel restriction","L2-L3","Lift maritime restriction",1
"Lift travel restriction","L2-L3","Resume public transport",4
"Mass gathering cancellation","L2-L3","Closure of adult daycare facilities",8
"Mass gathering cancellation","L2-L3","Closure of discotheques",3
"Mass gathering cancellation","L2-L3","Closure of markets",7
"Mass gathering cancellation","L2-L3","Closure of non-essential public places",49
"Mass gathering cancellation","L2-L3","Closure of non-essential working places",38
"Mass gathering cancellation","L2-L3","Complete prohibition of gathering",14
"Mass gathering cancellation","L2-L3","Conferences, meetings, trade fairs, etc.",22
"Mass gathering cancellation","L2-L3","Cultural places and events",108
"Mass gathering cancellation","L2-L3","Festivals, faith-based events",41
"Mass gathering cancellation","L2-L3","Implement e-learning",21
"Mass gathering cancellation","L2-L3","Indoor activities",85
"Mass gathering cancellation","L2-L3","Limit to 500 persons",1
"Mass gathering cancellation","L2-L3","Limit up to 100 persons",24
"Mass gathering cancellation","L2-L3","Limit up to 1000 persons",22
"Mass gathering cancellation","L2-L3","Limit up to 150 persons",1
"Mass gathering cancellation","L2-L3","Limit up to 250 persons",9
"Mass gathering cancellation","L2-L3","Limit up to 50 persons",27
"Mass gathering cancellation","L2-L3","Limit up to 500 persons",12
"Mass gathering cancellation","L2-L3","Limit up to 5000 persons",5
"Mass gathering cancellation","L2-L3","Limit up to 75 persons",2
"Mass gathering cancellation","L2-L3","Measures for elections",20
"Mass gathering cancellation","L2-L3","Outdoor activities",22
"Mass gathering cancellation","L2-L3","Places of worship",30
"Mass gathering cancellation","L2-L3","Public events",6
"Mass gathering cancellation","L2-L3","Sport events",52
"Mass gathering cancellation","L2-L3","Unspecified",2
"Measures for public transport","L2-L3","Implement cashless payments in public transport",1
"Measures for public transport","L2-L3","Implement the 2m distance",5
