"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"26","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas","All Albanian citizens"
"27","Travel restriction","Public transport restriction","Public transport ban","Public transport ban in Shkodra, Lezha, Elbasani, Lushnja, Fieri and Vlora"
"28","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Private vehicles banned"
"29","Travel restriction","Public transport restriction","Public transport ban",""
"30","Travel restriction","Individual movement restrictions","Curfew","Time restriction"
"31","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing",""
"32","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases",""
"33","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health",""
"34","Healthcare and public health capacity","Increase in medical supplies and equipment","Ban on exportation of medical equipment and drugs",""
"35","Resource allocation","Emergency laws","Define sanctions if lockdown measures are not respected","Normative act"
"36","Resource allocation","Provide international help","Send medical staff to Lombardy (Italy)",""
"37","Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","Import from Turkey"
"38","Healthcare and public health capacity","Increase availability of PPE","Face masks","Import from Turkey"
"39","Healthcare and public health capacity","Increase isolation and quarantine facilities","One hospial","For non-severe cases"
"40","Healthcare and public health capacity","Increase in medical supplies and equipment","Respirators",""
"41","Healthcare and public health capacity","Reduce the burden on health system","Health hotline",""
"42","Resource allocation","Crisis management plans","Financial aid for health system",""
"43","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to families"
"44","Returning to normal life","Partial lift of the curfew","Increased allowed time out of home","from 90 min to 2h"
"45","Returning to normal life","Conditional re-opening of certain shops","Clothing stores, textiles, leather shoes and articles, stores showing furniture, lighting fixtures and household items, flower shops, plants, pets and their food in specialty stores, shops of electronic devices, children's toys, sports equipment, telecommunication equipment.",""
"46","Returning to normal life","Conditional re-opening of services","Taxi service","Respect of sanitary conditions and social distance"
"47","Returning to normal life","Conditional re-opening of certain shops","With adaptive measures","Respect of sanitary conditions and social distance"
"48","Returning to normal life","Special relief for movements","In areas with a low risk of transmission","Green areas are defined"
"49","Returning to normal life","Special relief for movements","With adaptive measures","Segmentation of the population"
"50","Returning to normal life","Special relief for movements","With adaptive measures","Private transports"
"51","Returning to normal life","Special relief for movements","In areas with a low risk of transmission",""
"55","Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals",""
"57","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)",""
"58","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","China"
"59","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from China",""
"60","Risk communication","Educate and actively communicate with the public","Answer to questions","Telephone hotlines covid-19"
"61","Case identification, contact tracing and related measures","Activate case notification","Covid-19 as a notifiable disease",""
"62","Risk communication","Educate and actively communicate with the public","The Foreign Ministry raises the securtiy risk for China (level 2)","Ministry advises on postponing not crucial travel to China"
"63","Case identification, contact tracing and related measures","Isolation of cases","Epidemic plan",""
"64","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: China"
"65","Social distancing","Return operation of nationals","Return operation of nationals in Wuhan and/or Hubei","Special measure: Quarantine"
"68","Resource allocation","Emergency response mechanisms","Risk management plan","Set up crisis unit (national)"
"69","Risk communication","Actively communicate with stakeholders","Answer to questions","Webpage of Health Institute"
"70","Risk communication","Educate and actively communicate with the public","Information campaign","Press Conference"
"72","Risk communication","Educate and actively communicate with the public","Answer to questions","Webpage of Health Ministry"
"73","Resource allocation","Emergency response mechanisms","Risk management plan","Nationwide guidelines"
"74","Risk communication","Actively communicate with healthcare professionals","Answer to questions",""
"75","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Monitoring contacts"
"76","Risk communication","Actively communicate with stakeholders","Recommendations for schools",""
"77","Case identification, contact tracing and related measures","Quarantine","The state support quarantine financially",""
"78","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","200 additional medical professionals for testing at people's homes"
"79","Resource allocation","Emergency response mechanisms","Risk management plan","City of Vienna Emergency Plan"
"80","Resource allocation","Emergency response mechanisms","Risk management plan","Corona task force"
"81","Risk communication","Educate and actively communicate with the public","Answer to questions",""
"82","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China","Passengers from Iran and South Korea"
"83","Risk communication","Travel alert","Level 5: Lombardy and the municipality of Vo Euganeo in Veneto / Italy",""
"84","Risk communication","Travel alert","Level 6: Iran, South Korea",""
"85","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","Passengers from South Korea, Iran and Northern Italy need medical certificate to enter Austria"
"86","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: South Korea, Iran and Northern Italy"
"87","Risk communication","Travel alert","Level 6: Italy (whole)",""
"88","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Iran, South Korea and flights from the northern Italian airports"
"89","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from China"
"90","Risk communication","Call for return of nationals living abroad","",""
"91","Case identification, contact tracing and related measures","Border health check","Health certificate requested","People from Italy"
"92","Social distancing","Mass gathering cancellation","Cultural events","Indoor events limited up to 100 people"
"93","Social distancing","Mass gathering cancellation","Limit up to 500 persons","Outdoor"
"94","Social distancing","Return operation of nationals","Return operation of nationals in Italy","Special measure: Quarantine"
"95","Risk communication","Educate and actively communicate with the public","Communication targets protection of special populations","Recommendation to reduce contact to hospital patients"
"96","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Spain, France, Switzerland"
"97","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Switzerland"
"98","Resource allocation","Crisis management plans","Traffic enactments","Suspended driving ban on Sunday for trucks transporting food and hygiene products"
"100","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","People are only allowed to leave their homes to do work which cannot be postponed, run important errands or help others."
"102","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Close hospitals for visitors"
"103","Social distancing","Small gathering cancellation","Closure of non-essential shops",""
"104","Social distancing","Small gathering cancellation","Partial closure of restaurants/bars/cafes",""
"105","Social distancing","Small gathering cancellation","Limit up to 5 persons",""
"106","Social distancing","Small gathering cancellation","Start of possible implementation of part-time work",""
"107","Travel restriction","Cordon sanitaire","More than one city","5 towns in Tyrol"
"108","Risk communication","Travel alert","World (security level 4 of 6)",""
"109","Healthcare and public health capacity","Increase patient capacity","Beds",""
"111","Social distancing","Small gathering cancellation","Complete closure of restaurants/bars/cafes",""
"112","Risk communication","Call for return of nationals living abroad","Quarantine for all incoming nationals",""
"113","Travel restriction","Cordon sanitaire","One region",""
"117","Social distancing","Closure of educational institutions","Closure of educational institutions","Closure of kindergartens"
"118","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","38 billion euros"
"119","Risk communication","Educate and actively communicate with the public","Advice for special populations","Message for pregnant women, elderly and at risk profesions"
"120","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Some supermarkets offer one hour for people at risk (elderly people)"
"121","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Cashiers"
"123","Social distancing","Small gathering cancellation","Partial closure of public spaces","parks, playgrounds"
"124","Travel restriction","Airport restriction","Cancellation of international flights","Total: Last regular AUA flight lands in Vienna"
"125","Case identification, contact tracing and related measures","Quarantine","All incomings",""
"126","Risk communication","Educate and actively communicate with the public","",""
"127","Travel restriction","Individual movement restrictions","Non-essential travel forbidden",""
"128","Risk communication","Call for return of nationals living abroad","Support from the government for the return of nationals living abroad",""
"129","Social distancing","Small gathering cancellation","Mandatory home office","Place of work may only be entered if work cannot be done at home"
"130","Social distancing","Small gathering cancellation","Closure of rehabilitation institutions",""
"131","Travel restriction","Border restriction","Land border controls","Liechtenstein, Slovenia"
"132","Risk communication","Educate and actively communicate with the public","Promote social distancing measures",""
"133","Resource allocation","Crisis management plans","Traffic enactments",""
"134","Healthcare and public health capacity","Increase availability of PPE","Covid-19 at a notifiable disease",""
"135","Risk communication","Educate and actively communicate with the public","Corona dashboard",""
"136","Travel restriction","Border restriction","Entry ban to non-citizens",""
"137","Case identification, contact tracing and related measures","Quarantine","All incomings","self-monitored home quarantine"
"138","Travel restriction","Border restriction","Land border controls","Germany"
"139","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","In supermarkets"
"140","Social distancing","Measures for special populations","Vulnerable populations","Mandatory home office"
"141","Healthcare and public health capacity","Increase availability of PPE","Face masks","For the population"
"142","Resource allocation","Crisis management plans","Implement repurpose community services plans","Free parking"
"143","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","Public transports"
"144","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","All shops"
"145","Returning to normal life","Conditional re-opening of certain shops","Only shops smaller than 400 square metres + face masks mandatory","Respect social distancing + mandatory use of face mask"
"146","Returning to normal life","Conditional re-opening of certain shops","Shopping malls, hairdressers and all shops with over 400 square meters","Respect social distancing + mandatory use of face mask"
"147","Returning to normal life","Conditional access to public space","With adaptive measures","Respect social distancing"
"148","Returning to normal life","Conditional access to public transport","","Respect social distancing + mandatory use of face mask"
"149","Returning to normal life","Conditional entry in the country","For certain workers","Seasonal workers in agriculture and forestry, and care and health personnel"
"150","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Extended: Aircrafts from China, Iran, Italy, Switzerland, France, Spain, the United Kingdom, the Netherlands, Russia and Ukraine"
"151","Returning to normal life","Lift landing ban","Partial lift: Aircrafts from South Korea",""
"152","Travel restriction","Airport restriction","Entry ban to non EU citizens",""
"153","Travel restriction","Airport restriction","Conditional entry of citizens and EU citizens","14 day home quarantine"
"154","Travel restriction","Border restriction","Land borders closed",""
"155","Travel restriction","Airport restriction","Entry ban to non EU citizens","Extended until May 31"
"156","Travel restriction","Airport restriction","Conditional entry of citizens and EU citizens - Extended","Home quarantine or negative PCR test"
"157","Travel restriction","Border restriction","Conditional entry of persons from neighboring countries - Extended","Negative PCR test"
"158","Travel restriction","Border restriction","Conditional entry of citizens - Extended","Home quarantine or negative PCR test"
"159","Travel restriction","Public transport restriction","Train traffic suspended - Extended","To Italy, Switzerland and Liechtenstein"
"160","Risk communication","Travel alert","Belgium, Brazil, Ecuador, France, India, Indonesia, Iran, Italy, Mexico, Netherlands, Nigeria, Pakistan, Peru, Philippines, Portugal, Russia, San Marino, Sweden, Switzerland, Senegal, Spain, South Africa, Turkey, Ukraine, UNITED STATES, Vatican City, United Kingdom",""
"161","Returning to normal life","Re-opening of educational institutions","Partial","Matura class and final classes of the vocational middle schools"
"162","Resource allocation","Crisis management plans","Traffic enactments","Suspended driving ban on Sunday for trucks transporting food and hygiene products - Until 17 May 2020"
"163","Resource allocation","Crisis management plans","Implement repurpose community services plans","Train service for economic continuity"
"164","Travel restriction","Border restriction","Conditional entry of persons from neighboring countries","Negative PCR test < 4 days"
"165","Risk communication","Travel alert","Level 4: all countries in the world",""
"166","Risk communication","Travel alert","Level 5: 21 states",""
"167","Risk communication","Travel alert","Level 6: 29 states",""
"169","Social distancing","Mass gathering cancellation","Cultural events","Celebrations of Chinese New Year"
"171","Risk communication","Educate and actively communicate with the public","Information campaign","Press conference, national TV"
"172","Healthcare and public health capacity","Increase patient capacity","Emergency hospitals",""
"174","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Partial quarantine"
"175","Case identification, contact tracing and related measures","Testing strategy","Restricted testing","Triage system for tests"
"176","Social distancing","Closure of educational institutions","Reduction of excursions, out-of-house events",""
"177","Risk communication","Educate and actively communicate with the public","Recommendation for home office",""
"178","Social distancing","Mass gathering cancellation","Limit up to 1000 persons",""
"181","Social distancing","Mass gathering cancellation","Festivals, faith-based events",""
"184","Social distancing","Special measures for certain establishments","Food services","Only delivery"
"185","Social distancing","Special measures for certain establishments","Non-essential shops","Closure on week-end"
"186","Risk communication","Educate and actively communicate with the public","Communication by the head of the government","National TV"
"187","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase number of FFP2 and FFP3 respirators and surgical masks"
"189","Travel restriction","Individual movement restrictions","Non-essential movements forbidden",""
"192","Resource allocation","Police and army interventions","To enforce social distancing",""
"193","Travel restriction","Border restriction","Border restriction","Entry ban to non EU citizens"
"194","Social distancing","Return operation of nationals","Return operation of nationals in China","Special measure: Quarantine"
"195","Social distancing","Return operation of nationals","Return operation of nationals on Westerdam cruise ship","Special measure: Quarantine"
"196","Risk communication","Educate and actively communicate with the public","Information campaign","Government informs via Facebook"
"197","Risk communication","Actively communicate with stakeholders","Recommendations for universities","Recommendations for e-learning"
"198","Risk communication","Educate and actively communicate with the public","Use of public transport","Limit travel to essential journeys"
"199","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans",""
"200","Healthcare and public health capacity","Increase availability of PPE","Face masks","Priority groups: hospitals, ambulances, sorting centres, health professionals in general, laboratory staff and suspicious/confirmed cases in residential communities."
"201","Risk communication","Educate and actively communicate with the public","Advice for certain workers","Waste collection staff"
"202","Risk communication","Educate and actively communicate with the public","Information campaign","On hand hygiene and social distancing"
"203","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","For residential care centres and retirement and nursing homes"
"204","Travel restriction","National lockdown","Extended",""
"205","Returning to normal life","Conditional re-opening of certain shops","With adaptive measures","Social distancing will need to be respected."
"206","Returning to normal life","Special relief for movements","Measure for visiting residents of long-term facilities","One pre-defined person. Without symptoms."
"207","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote use of face masks"
"208","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases","Test all symptomatic patients"
"209","Case identification, contact tracing and related measures","Enhance detection system","Tracing and tracking","Contact tracing"
"210","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Quarantine certificate for employees"
"211","Returning to normal life","Phase-out strategy plan starts","",""
"212","Social distancing","Closure of educational institutions","Complete closure of educational institutions","All"
"213","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, etc."
"214","Travel restriction","Border restriction","Land border controls","Applies to passengers from Bosnia and Herzegowina travelling to Serbia or Montenegro."
"215","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas",""
"216","Travel restriction","Border restriction","Ban on business travels","Business trips prohibited"
"218","Resource allocation","Emergency response mechanisms","Declare state of emergency",""
"219","Risk communication","Actively communicate with healthcare professionals","Health agencies and emergency healthcare",""
"220","Risk communication","Educate and actively communicate with the public","Promote hand hygiene",""
"221","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine",""
"222","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Do not touch eyes/nose/mouth"
"223","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Sneeze/cough in the elbow"
"224","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote the use of face mask"
"225","Social distancing","Closure of educational institutions","Closure of primary and secondary schools",""
"227","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes",""
"230","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Quarantine"
"234","Social distancing","Measures for special populations","Measures to limit contact to children","Quarantine"
"235","Travel restriction","Individual movement restrictions","Curfew",""
"236","Travel restriction","Individual movement restrictions","Curfew","20:00 - 5:00"
"239","Social distancing","Closure of educational institutions","Cancellation of exams","Primary and secondary schools"
"241","Travel restriction","Individual movement restrictions","Movemnet ban for elderly",">65 yo"
"244","Case identification, contact tracing and related measures","Quarantine","All incomings citizens","Tent settlement for quarantine"
"245","Environmental measures","Environmental cleaning and disinfection","Public and ecomonic facilities",""
"246","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","Public and ecomonic facilities"
"247","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","Supermarkets"
"248","Healthcare and public health capacity","Personal protective measures","Mandatory use of gloves","For workers in contact with the public"
"249","Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Hand sanitizers in public spaces (mandatory)"
"250","Healthcare and public health capacity","Personal protective measures","Mandatory physical barrier between workers and public","Plexiglas or foil"
"251","Social distancing","Special measures for certain establishments","Fruit and vegetable sellers","Workers should select food and package them"
"252","Returning to normal life","Lift cordon sanitaire","One region","Peskir "
"253","Healthcare and public health capacity","Increase availability of PPE","Face masks, gloves, protective suits","Import"
"254","Healthcare and public health capacity","Increase availability of PPE","Face masks","Donation from China"
"255","Healthcare and public health capacity","Increase availability of PPE","Face masks","Donation from charity organization"
"256","Resource allocation","Receive international help","From switzerland","200.000 euros"
"257","Resource allocation","Receive international help","US and NATO",""
"259","Travel restriction","Border restriction","Land borders closed","Croatia"
"260","Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis","Funds"
"261","Resource allocation","Police and army interventions","To enforce lockdown","Use smart phone to track if  citizens break lockdown"
"262","Risk communication","Actively communicate with stakeholders","",""
"264","Resource allocation","Emergency response mechanisms","Risk management plan","Brazilian Ministry of Health Emergency Operations Center (EOC)"
"265","Resource allocation","Emergency response mechanisms","Declare state of emergency","Level 2 (of 3)"
"266","Resource allocation","Emergency response mechanisms","Risk management plan","Contingency plan"
"267","Resource allocation","Emergency response mechanisms","Risk management plan","Mobilize other forces"
"268","Resource allocation","Emergency response mechanisms","Risk management plan","Public Health Emergency of International Concern"
"270","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated isolation of people with mild respiratory symptoms",""
"271","Case identification, contact tracing and related measures","Quarantine","Quarantine law approved","For nationals returning from Wuhan"
"273","Case identification, contact tracing and related measures","Quarantine","Contact persons",""
"274","Resource allocation","Emergency response mechanisms","Risk management plan","Set up crisis unit (regional)"
"275","Case identification, contact tracing and related measures","Quarantine","Nationals who travelled to at risk areas",""
"276","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas",""
"278","Case identification, contact tracing and related measures","Isolation of cases","",""
"279","Resource allocation","Emergency response mechanisms","Risk management plan","Raised emergency level to 2 of 3"
"280","Risk communication","Educate and actively communicate with the public","Encourage people to follow the experts recommendations","President on TV"
"282","Healthcare and public health capacity","Research","Clinical trials on COVID-19",""
"283","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","All"
"284","Travel restriction","Border restriction","Land borders closed ","Venezuela only"
"285","Resource allocation","Emergency response mechanisms","Declare state of emergency","Declare emergency state"
"286","Risk communication","Educate and actively communicate with the public","President press conference",""
"287","Resource allocation","Emergency response mechanisms","Declare state of emergency","Public calamity situation"
"288","Travel restriction","Non-essential travels forbidden","Interstate travels forbidden",""
"289","Resource allocation","Measures to ensure security of supply","Fixing maximum price for necessity goods","Food"
"291","Risk communication","Actively communicate with stakeholders","Promote social distancing measures",""
"292","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of primary and secondary schools"
"293","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of universities, research institutions"
"295","Travel restriction","Cordon sanitaire","Sao Paulo",""
"296","Social distancing","Small gathering cancellation","Closure of non-essential shops","Sao Paulo"
"298","Travel restriction","Border restriction","Land borders closed ","Argentina, Bolivia, Colombia, French Guiana, Guyana, Paraguay, Peru and Suriname"
"299","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Elderly residents of communities hosted in hotels"
"300","Risk communication","Educate and actively communicate with the public","Communication for protecting women and children against domestic violence",""
"301","Social distancing","Measures for special populations","For three groups of traditional peoples and communities: quilombolas, gypsies and indigenous people",""
"302","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: commercial flights"
"303","Resource allocation","Crisis management plans","Research","Health research"
"304","Case identification, contact tracing and related measures","Enhance detection system","Health screening","Via phone call"
"308","Resource allocation","Crisis management plans","Research","Open call 50 millions euros"
"313","Healthcare and public health capacity","Repurpose hospitals","Small hospitals used to reduce burden on hospitals dealing with covid-19 patients",""
"314","Resource allocation","Crisis management plans","Financial aid for health system","Governmental funds"
"315","Case identification, contact tracing and related measures","Testing strategy","Targeted testing","Test most exposed workers"
"317","Healthcare and public health capacity","Increase availability of PPE","Face masks and glasses",""
"318","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Rapid serological tests"
"320","Risk communication","Educate and actively communicate with the public","Advice for special populations","Indigeneous populations"
"323","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Import"
"324","Healthcare and public health capacity","Increase availability of PPE","Face masks",""
"327","Case identification, contact tracing and related measures","Airport health check","Health screening","adding health screening question to the electronic kiosks for passengers arriving from central China."
"328","Case identification, contact tracing and related measures","Specific health channel for travellers","From China","Airports Montreal, Toronto, Vancoover"
"329","Risk communication","Educate and actively communicate with the public","Discourage non-essential travels",""
"333","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Close contacts are monitored"
"335","Case identification, contact tracing and related measures","Airport health check","Health screening","Travellers from high-risk areas"
"337","Risk communication","Educate and actively communicate with the public","Promote the 2m distance",""
"338","Social distancing","Return operation of nationals","Return operation of nationals on the Diamond Princess cruise ship","Special measure: Quarantine"
"339","Case identification, contact tracing and related measures","Quarantine","All incomings","Quarantine Act"
"341","Resource allocation","Crisis management plans","Research","$27 million in funding to 47 research groups at 19 universities, to develop means of managing the outbreak"
"342","Social distancing","Return operation of nationals","Return operation of nationals on the Grand Princess cruise ship","Special measure: Quarantine"
"343","Resource allocation","Crisis management plans","Implement repurpose government plans","Announce 1 billion dollar response fund"
"344","Social distancing","Mass gathering cancellation","Conferences, meetings, trade fairs, etc.",""
"348","Social distancing","Mass gathering cancellation","Limit up to 250 persons",""
"350","Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","Interim national case definition"
"351","Travel restriction","Non-essential travels forbidden","",""
"356","Travel restriction","Cordon sanitaire","One Province","Alberta"
"357","Resource allocation","Measures to ensure security of supply","Fixing maximum price for necessity goods","Food, clothing, fuel, equipment"
"358","Social distancing","Mass gathering cancellation","Limit up to 50 persons",""
"359","Social distancing","Mass gathering cancellation","Indoor activities","casinos, bingo halls, bars, nightclubs, fitness centres, arenas, museums, and indoor children's play centres."
"360","Social distancing","Special measures for certain establishments","Food services","maximum of 50 people or 50 per cent of their maximum capacity"
"362","Resource allocation","Crisis management plans","Implement repurpose community services plans","Social services and seniors"
"364","Travel restriction","Cordon sanitaire","One Province","British Columbia"
"365","Resource allocation","Measures to ensure security of supply","Fixing maximum price for necessity goods",""
"366","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Total closure of restaurants/bars/cafes"
"367","Social distancing","Mass gathering cancellation","Limit up to 50 persons","Indoor and outdoor"
"369","Social distancing","Small gathering cancellation","Limit up to 10 persons","Indoor and outdoor"
"370","Social distancing","Special measures for certain establishments","Implement the 2m distance","In the shops, pharmacies or gas stations"
"371","Social distancing","Measures for public transport","Implement the 2m distance","In public transport"
"373","Social distancing","Mass gathering cancellation","Indoor activities","gyms and gaming centres, bingo halls and fitness centres"
"378","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Only delivery"
"379","Social distancing","Small gathering cancellation","Limit up to 10 persons",""
"380","Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",""
"381","Social distancing","Mass gathering cancellation","Cultural events",""
"382","Social distancing","Mass gathering cancellation","Indoor activities",""
"383","Social distancing","Work safety protocols","",""
"387","Social distancing","Mass gathering cancellation","Closure of restaurants/bars/cafes","Bars"
"388","Social distancing","Special measures for certain establishments","Food services",""
"390","Resource allocation","Police and army interventions","To enforce social distancing","Fine if quarantine broken"
"392","Resource allocation","Crisis management plans","Implement repurpose community services plans","Defer taxes"
"398","Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators",""
"399","Resource allocation","Police and army interventions","To enforce social distancing","Summary offence tickets"
"401","Case identification, contact tracing and related measures","Quarantine","All incomings","Nunavut"
"402","Case identification, contact tracing and related measures","Surveillance","Targeted surveillance","For people working in essential services"
"403","Healthcare and public health capacity","Increase patient capacity","Postponement of medical appointments",""
"404","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Bars"
"406","Social distancing","Small gathering cancellation","Mandatory home office","Non-essential territorial government staff will begin working from home starting by the end of the day Friday."
"409","Social distancing","Mass gathering cancellation","Cultural events","Theatres"
"411","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of private schools"
"414","Healthcare and public health capacity","Increase patient capacity","Increase ICU capacity","State funds"
"416","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Emergency Contingency Fund i"
"420","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Bas-Saint-Laurent, l'Abitibi-TÈmiscamingue, la CÙte-Nord, le Nord-du-QuÈbec, le Nunavik et les Terres-Cries-de-la-Baie-James"
"422","Travel restriction","Border restriction","Land border controls","USA"
"423","Social distancing","Small gathering cancellation","Closure of non-essential working places",""
"429","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Restrictions to hopital visitors"
"430","Social distancing","Mass gathering cancellation","Indoor activities","Bars, lounges, night clubs, fitness centers, swimming pools"
"431","Case identification, contact tracing and related measures","Quarantine","Contact persons","Mandatory, 14 days"
"434","Social distancing","Mass gathering cancellation","Cultural events","Theatres, galleries, museums"
"439","Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Recommendation to reduce contact to hospital patients"
"440","Travel restriction","Airport restriction","Some airports dedicated to receive international flights","International flights to Canada from outside the Caribbean, Mexico, and the U.S. were instructed to land at only one of four airports: Calgary International Airport, Montreal Trudeau International Airport, Toronto Pearson International Airport, and Vancouver International Airport"
"441","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","All travellers"
"444","Social distancing","Measures for special populations","Measures to limit contact to hospital patients",""
"445","Travel restriction","Airport restriction","Cancellation of international flights","Total"
